season,event,champion,games_contests,pick_ban_ratio,banned_games,played_games,played_by_number_of_players,win,lose,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,damage,damage/min,kill_participation,kill_share,gold_share
12,Main,Lux,8,10,1,7,6,3,4,42.9,0.86,2.71,7.43,3.05,35.57,1.04,8.2,241,9500,278,70.7,7.3,13.8
12,Main,Tahm Kench,8,10,2,6,5,2,4,33.3,0.17,3.33,6.67,2.05,36.83,1.23,6.6,221,4600,155,64.1,1.6,12.7
12,Main,Ezreal,8,10,3,5,4,1,4,20,2.2,2.6,2.6,1.85,324.2,9.84,14.3,435,24000,729,51.1,23.4,25
12,Main,Kindred,8,10,4,4,1,4,0,100,2,1.25,6.5,6.8,228.75,6.41,12.9,361,14400,405,70.8,16.7,19.5
12,Main,Galio,8,10,4,4,4,1,3,25,1.75,3.75,5,1.8,241,7.27,11.6,349,15000,453,67.5,17.5,20.5
12,Main,Syndra,7,8.8,2,5,4,0,5,0,1.8,3.4,4.2,1.76,228.2,6.84,11.4,342,16900,506,73.2,22,21.1
12,Main,Ahri,6,7.5,1,5,4,4,1,80,5.8,1,7.4,13.2,323,9.13,16.2,459,24600,694,68.8,30.2,23.5
12,Main,Sett,6,7.5,1,5,4,2,3,40,1.6,3.6,5.2,1.89,138.6,4.49,9,292,9700,313,57.6,13.6,17.1
12,Main,Hecarim,6,7.5,2,4,3,3,1,75,4.5,2,8.25,6.38,210.75,5.87,13,362,13000,363,76.1,26.9,19.8
12,Main,Jinx,6,7.5,2,4,3,3,1,75,2.75,0.75,6.75,12.67,274,9.91,12.6,457,14200,514,71.7,20.8,23.7
12,Main,Seraphine,6,7.5,2,4,3,0,4,0,0.75,2.5,4.75,2.2,277.5,8.42,11.4,345,10300,313,64.7,8.8,20.7
12,Main,Senna,6,7.5,3,3,3,0,3,0,0.33,3,4,1.44,51.33,1.62,8.2,258,8000,252,76.5,5.9,15.8
12,Main,Nidalee,6,7.5,4,2,2,1,1,50,3,1.5,4.5,5,207.5,7.44,11.3,407,18900,679,78.9,31.6,22.1
12,Main,Pyke,6,7.5,5,1,1,0,1,0,2,8,4,0.75,47,1.19,10.1,256,8400,213,60,20,14.8
