Tournament,League,Date,Gamelength,Team1,Team2,Team1Score,Team2Score,WinTeam,Year
Worlds Season 2,WCS,2012-10-07 05:00:00,54:59,Team WE,Counter Logic Gaming Europe,1,1,Counter Logic Gaming Europe,2012
Worlds Season 2,WCS,2012-10-11 01:00:00,31:20,Moscow Five,Taipei Assassins,1,0,Moscow Five,2012
Worlds Season 2,WCS,2012-10-11 02:00:00,28:01,Taipei Assassins,Moscow Five,1,1,Taipei Assassins,2012
Worlds Season 2,WCS,2012-10-11 03:00:00,44:08,Moscow Five,Taipei Assassins,1,2,Taipei Assassins,2012
Worlds Season 2,WCS,2012-10-11 03:00:00,43:27,Counter Logic Gaming Europe,Team WE,2,1,Counter Logic Gaming Europe,2012
Worlds Season 2,WCS,2012-10-11 04:00:00,35:43,Counter Logic Gaming Europe,Azubu Frost,1,0,Counter Logic Gaming Europe,2012
Worlds Season 2,WCS,2012-10-11 05:00:00,30:02,Azubu Frost,Counter Logic Gaming Europe,1,1,Azubu Frost,2012
Worlds Season 2,WCS,2012-10-11 06:00:00,40:34,Counter Logic Gaming Europe,Azubu Frost,1,2,Azubu Frost,2012
Worlds Season 2,WCS,2012-10-14 00:30:00,41:44,Taipei Assassins,Azubu Frost,0,1,Azubu Frost,2012
Worlds Season 2,WCS,2012-10-14 01:30:00,40:16,Azubu Frost,Taipei Assassins,1,1,Taipei Assassins,2012
Worlds Season 2,WCS,2012-10-14 02:30:00,22:04,Taipei Assassins,Azubu Frost,2,1,Taipei Assassins,2012
Worlds Season 2,WCS,2012-10-14 03:30:00,38:59,Azubu Frost,Taipei Assassins,1,3,Taipei Assassins,2012
Worlds Season 3,WCS,2013-09-15 19:00:00,37:01,GamingGear.eu,TSM,0,1,TSM,2013
Worlds Season 3,WCS,2013-09-15 20:00:00,34:50,SK Telecom T1,Lemondogs,1,0,SK Telecom T1,2013
Worlds Season 3,WCS,2013-09-15 21:00:00,39:00,TSM,Oh My God,0,1,Oh My God,2013
Worlds Season 3,WCS,2013-09-15 22:00:00,29:01,Lemondogs,GamingGear.eu,1,0,Lemondogs,2013
Worlds Season 3,WCS,2013-09-15 23:00:00,40:03,Oh My God,SK Telecom T1,1,0,Oh My God,2013
Worlds Season 3,WCS,2013-09-16 00:00:00,31:24,Team Vulcun,Fnatic,1,0,Team Vulcun,2013
Worlds Season 3,WCS,2013-09-16 01:00:00,24:39,Gambit Gaming,Mineski,1,0,Gambit Gaming,2013
Worlds Season 3,WCS,2013-09-16 02:00:00,28:19,Samsung Ozone,Team Vulcun,1,0,Samsung Ozone,2013
Worlds Season 3,WCS,2013-09-16 03:00:00,27:41,Mineski,Fnatic,0,1,Fnatic,2013
Worlds Season 3,WCS,2013-09-16 04:00:00,32:22,Gambit Gaming,Samsung Ozone,1,0,Gambit Gaming,2013
Worlds Season 3,WCS,2013-09-17 02:00:00,28:55,Mineski,Samsung Ozone,0,1,Samsung Ozone,2013
Worlds Season 3,WCS,2013-09-17 03:00:00,27:40,Team Vulcun,Gambit Gaming,0,1,Gambit Gaming,2013
Worlds Season 3,WCS,2013-09-17 04:00:00,32:59,Samsung Ozone,Fnatic,0,1,Fnatic,2013
Worlds Season 3,WCS,2013-09-17 05:00:00,35:27,Mineski,Team Vulcun,0,1,Team Vulcun,2013
Worlds Season 3,WCS,2013-09-17 06:00:00,32:31,Fnatic,Gambit Gaming,1,0,Fnatic,2013
Worlds Season 3,WCS,2013-09-18 02:00:00,42:04,Lemondogs,Oh My God,0,1,Oh My God,2013
Worlds Season 3,WCS,2013-09-18 03:00:00,29:37,SK Telecom T1,GamingGear.eu,1,0,SK Telecom T1,2013
Worlds Season 3,WCS,2013-09-18 04:00:00,30:30,TSM,Lemondogs,1,0,TSM,2013
Worlds Season 3,WCS,2013-09-18 05:00:00,25:20,GamingGear.eu,Oh My God,0,1,Oh My God,2013
Worlds Season 3,WCS,2013-09-18 06:00:00,34:16,SK Telecom T1,TSM,1,0,SK Telecom T1,2013
Worlds Season 3,WCS,2013-09-20 02:00:00,34:26,Samsung Ozone,Gambit Gaming,1,0,Samsung Ozone,2013
Worlds Season 3,WCS,2013-09-20 03:00:00,21:32,Fnatic,Team Vulcun,1,0,Fnatic,2013
Worlds Season 3,WCS,2013-09-20 04:00:00,24:38,Mineski,Gambit Gaming,0,2,Gambit Gaming,2013
Worlds Season 3,WCS,2013-09-20 05:00:00,25:26,Fnatic,Samsung Ozone,1,0,Fnatic,2013
Worlds Season 3,WCS,2013-09-20 06:00:00,24:11,Team Vulcun,Mineski,1,0,Team Vulcun,2013
Worlds Season 3,WCS,2013-09-21 02:00:00,28:44,Lemondogs,SK Telecom T1,0,1,SK Telecom T1,2013
Worlds Season 3,WCS,2013-09-21 03:00:00,23:45,Oh My God,GamingGear.eu,1,0,Oh My God,2013
Worlds Season 3,WCS,2013-09-21 04:00:00,34:54,TSM,SK Telecom T1,0,1,SK Telecom T1,2013
Worlds Season 3,WCS,2013-09-21 05:00:00,32:08,GamingGear.eu,Lemondogs,0,1,Lemondogs,2013
Worlds Season 3,WCS,2013-09-21 06:00:00,35:55,Oh My God,TSM,1,0,Oh My God,2013
Worlds Season 3,WCS,2013-09-21 19:00:00,37:22,Gambit Gaming,Fnatic,0,1,Fnatic,2013
Worlds Season 3,WCS,2013-09-21 20:00:00,36:33,Team Vulcun,Samsung Ozone,0,1,Samsung Ozone,2013
Worlds Season 3,WCS,2013-09-21 21:00:00,30:01,Fnatic,Mineski,1,0,Fnatic,2013
Worlds Season 3,WCS,2013-09-21 22:00:00,38:29,Gambit Gaming,Team Vulcun,1,0,Gambit Gaming,2013
Worlds Season 3,WCS,2013-09-21 23:00:00,23:56,Samsung Ozone,Mineski,1,0,Samsung Ozone,2013
Worlds Season 3,WCS,2013-09-22 00:00:00,40:39,Lemondogs,TSM,1,0,Lemondogs,2013
Worlds Season 3,WCS,2013-09-22 01:00:00,26:06,GamingGear.eu,SK Telecom T1,0,1,SK Telecom T1,2013
Worlds Season 3,WCS,2013-09-22 02:00:00,36:52,Oh My God,Lemondogs,1,0,Oh My God,2013
Worlds Season 3,WCS,2013-09-22 03:00:00,34:24,TSM,GamingGear.eu,0,1,GamingGear.eu,2013
Worlds Season 3,WCS,2013-09-22 04:00:00,23:29,SK Telecom T1,Oh My God,1,0,SK Telecom T1,2013
Worlds Season 3,WCS,2013-09-22 04:00:00,43:17,Samsung Ozone,Gambit Gaming,0,1,Gambit Gaming,2013
Worlds Season 3,WCS,2013-09-23 19:00:00,33:13,Fnatic,Cloud9,1,0,Fnatic,2013
Worlds Season 3,WCS,2013-09-23 20:00:00,39:00,Cloud9,Fnatic,1,1,Cloud9,2013
Worlds Season 3,WCS,2013-09-23 21:00:00,27:53,Fnatic,Cloud9,2,1,Fnatic,2013
Worlds Season 3,WCS,2013-09-23 23:00:00,42:52,Gambit Gaming,NaJin Black Sword,1,0,Gambit Gaming,2013
Worlds Season 3,WCS,2013-09-24 00:00:00,24:49,NaJin Black Sword,Gambit Gaming,1,1,NaJin Black Sword,2013
Worlds Season 3,WCS,2013-09-24 01:00:00,40:02,Gambit Gaming,NaJin Black Sword,1,2,NaJin Black Sword,2013
Worlds Season 3,WCS,2013-09-25 02:00:00,33:10,Gamania Bears,SK Telecom T1,0,1,SK Telecom T1,2013
Worlds Season 3,WCS,2013-09-25 03:00:00,27:04,SK Telecom T1,Gamania Bears,2,0,SK Telecom T1,2013
Worlds Season 3,WCS,2013-09-25 05:00:00,32:37,Royal Club,Oh My God,1,0,Royal Club,2013
Worlds Season 3,WCS,2013-09-25 06:00:00,25:13,Oh My God,Royal Club,0,2,Royal Club,2013
Worlds Season 3,WCS,2013-09-28 03:00:00,47:51,SK Telecom T1,NaJin Black Sword,0,1,NaJin Black Sword,2013
Worlds Season 3,WCS,2013-09-28 04:00:00,29:57,NaJin Black Sword,SK Telecom T1,1,1,SK Telecom T1,2013
Worlds Season 3,WCS,2013-09-28 05:00:00,38:41,SK Telecom T1,NaJin Black Sword,1,2,NaJin Black Sword,2013
Worlds Season 3,WCS,2013-09-28 06:00:00,22:50,NaJin Black Sword,SK Telecom T1,2,2,SK Telecom T1,2013
Worlds Season 3,WCS,2013-09-28 07:00:00,27:05,SK Telecom T1,NaJin Black Sword,3,2,SK Telecom T1,2013
Worlds Season 3,WCS,2013-09-28 19:00:00,29:09,Fnatic,Royal Club,0,1,Royal Club,2013
Worlds Season 3,WCS,2013-09-28 20:00:00,29:45,Royal Club,Fnatic,2,0,Royal Club,2013
Worlds Season 3,WCS,2013-09-28 21:00:00,32:32,Fnatic,Royal Club,1,2,Fnatic,2013
Worlds Season 3,WCS,2013-09-28 22:00:00,49:54,Royal Club,Fnatic,3,1,Royal Club,2013
Worlds Season 3,WCS,2013-10-05 03:00:00,30:11,Royal Club,SK Telecom T1,0,1,SK Telecom T1,2013
Worlds Season 3,WCS,2013-10-05 04:00:00,38:27,SK Telecom T1,Royal Club,2,0,SK Telecom T1,2013
Worlds Season 3,WCS,2013-10-05 05:00:00,20:48,SK Telecom T1,Royal Club,3,0,SK Telecom T1,2013
Worlds 2014,WCS,2014-09-18 08:59:00,43:57,EDward Gaming,Samsung White,0,1,Samsung White,2014
Worlds 2014,WCS,2014-09-18 10:38:00,23:45,TSM,SK Gaming,1,0,TSM,2014
Worlds 2014,WCS,2014-09-18 11:21:00,40:08,Dark Passage,ahq eSports Club,0,1,ahq eSports Club,2014
Worlds 2014,WCS,2014-09-18 12:33:00,56:34,Taipei Assassins,Star Horn Royal Club,0,1,Star Horn Royal Club,2014
Worlds 2014,WCS,2014-09-18 14:02:00,22:31,Samsung White,ahq eSports Club,1,0,Samsung White,2014
Worlds 2014,WCS,2014-09-18 14:50:00,30:33,Star Horn Royal Club,TSM,1,0,Star Horn Royal Club,2014
Worlds 2014,WCS,2014-09-19 09:00:00,43:57,Taipei Assassins,SK Gaming,1,0,Taipei Assassins,2014
Worlds 2014,WCS,2014-09-19 10:11:00,33:15,EDward Gaming,Dark Passage,1,0,EDward Gaming,2014
Worlds 2014,WCS,2014-09-19 11:17:00,33:06,Star Horn Royal Club,SK Gaming,1,0,Star Horn Royal Club,2014
Worlds 2014,WCS,2014-09-19 12:19:00,23:28,Dark Passage,Samsung White,0,1,Samsung White,2014
Worlds 2014,WCS,2014-09-19 13:15:00,40:56,TSM,Taipei Assassins,1,0,TSM,2014
Worlds 2014,WCS,2014-09-19 14:19:00,36:08,EDward Gaming,ahq eSports Club,1,0,EDward Gaming,2014
Worlds 2014,WCS,2014-09-20 09:00:00,21:08,Samsung White,Dark Passage,1,0,Samsung White,2014
Worlds 2014,WCS,2014-09-20 09:51:00,33:45,SK Gaming,Star Horn Royal Club,0,1,Star Horn Royal Club,2014
Worlds 2014,WCS,2014-09-20 10:52:00,29:19,ahq eSports Club,Samsung White,0,1,Samsung White,2014
Worlds 2014,WCS,2014-09-20 11:49:00,27:01,Taipei Assassins,TSM,0,1,TSM,2014
Worlds 2014,WCS,2014-09-20 12:48:00,27:07,Dark Passage,EDward Gaming,0,1,EDward Gaming,2014
Worlds 2014,WCS,2014-09-20 13:44:00,50:01,SK Gaming,Taipei Assassins,1,0,SK Gaming,2014
Worlds 2014,WCS,2014-09-21 08:58:00,46:47,TSM,Star Horn Royal Club,1,0,TSM,2014
Worlds 2014,WCS,2014-09-21 10:21:00,34:41,ahq eSports Club,Dark Passage,1,0,ahq eSports Club,2014
Worlds 2014,WCS,2014-09-21 11:23:00,28:52,Star Horn Royal Club,Taipei Assassins,1,0,Star Horn Royal Club,2014
Worlds 2014,WCS,2014-09-21 12:16:00,46:09,ahq eSports Club,EDward Gaming,1,0,ahq eSports Club,2014
Worlds 2014,WCS,2014-09-21 13:47:00,50:36,SK Gaming,TSM,1,0,SK Gaming,2014
Worlds 2014,WCS,2014-09-21 14:49:00,33:33,Samsung White,EDward Gaming,1,0,Samsung White,2014
Worlds 2014,WCS,2014-09-21 16:00:00,40:03,EDward Gaming,ahq eSports Club,1,0,EDward Gaming,2014
Worlds 2014,WCS,2014-09-25 09:15:00,33:36,LMQ,Oh My God,1,0,LMQ,2014
