,Tournament,League,League_short,Date,Team1,Team2,Team1Score,Team2Score,Winner
1810,Worlds Season 1 Qualifier - NA,World Championship,WCS,2011-05-28 19:00:00,TSM,Disciples of Da Gr8 Whale Lord,2,0,1
1809,Worlds Season 1 Qualifier - NA,World Championship,WCS,2011-05-28 19:00:00,Counter Logic Gaming,Epik Gamer,1,2,2
1812,Worlds Season 1 Qualifier - NA,World Championship,WCS,2011-05-28 21:00:00,Rock Solid,OGODBEARS,2,0,1
1811,Worlds Season 1 Qualifier - NA,World Championship,WCS,2011-05-28 21:00:00,compLexity Gaming,Defy All Odds,2,0,1
1814,Worlds Season 1 Qualifier - NA,World Championship,WCS,2011-05-28 23:00:00,Epik Gamer,Rock Solid,2,1,1
1813,Worlds Season 1 Qualifier - NA,World Championship,WCS,2011-05-28 23:00:00,Counter Logic Gaming,OGODBEARS,2,0,1
1816,Worlds Season 1 Qualifier - NA,World Championship,WCS,2011-05-29 01:00:00,Defy All Odds,Disciples of Da Gr8 Whale Lord,2,0,1
1815,Worlds Season 1 Qualifier - NA,World Championship,WCS,2011-05-29 01:00:00,compLexity Gaming,TSM,0,2,2
1819,Worlds Season 1 Qualifier - NA,World Championship,WCS,2011-05-29 03:00:00,Rock Solid,Defy All Odds,2,0,1
1818,Worlds Season 1 Qualifier - NA,World Championship,WCS,2011-05-29 03:00:00,Epik Gamer,TSM,2,0,1
1817,Worlds Season 1 Qualifier - NA,World Championship,WCS,2011-05-29 03:00:00,compLexity Gaming,Counter Logic Gaming,0,2,2
1820,Worlds Season 1 Qualifier - NA,World Championship,WCS,2011-05-29 18:00:00,Counter Logic Gaming,Rock Solid,2,1,1
1821,Worlds Season 1 Qualifier - NA,World Championship,WCS,2011-05-29 20:30:00,TSM,Counter Logic Gaming,2,1,1
1822,Worlds Season 1 Qualifier - NA,World Championship,WCS,2011-05-29 23:00:00,Epik Gamer,TSM,0,2,2
1787,Worlds Season 1,World Championship,WCS,2011-06-18 08:30:00,against All authority,Epik Gamer,0,1,2
1788,Worlds Season 1,World Championship,WCS,2011-06-18 09:45:00,Fnatic,Team Pacific,1,0,1
1789,Worlds Season 1,World Championship,WCS,2011-06-18 11:00:00,against All authority,Fnatic,1,0,1
1790,Worlds Season 1,World Championship,WCS,2011-06-18 11:00:00,Epik Gamer,Team Pacific,1,0,1
1792,Worlds Season 1,World Championship,WCS,2011-06-18 12:15:00,Epik Gamer,Fnatic,1,0,1
1791,Worlds Season 1,World Championship,WCS,2011-06-18 12:15:00,against All authority,Team Pacific,1,0,1
1794,Worlds Season 1,World Championship,WCS,2011-06-18 14:30:00,TSM,Xan,0,1,2
1793,Worlds Season 1,World Championship,WCS,2011-06-18 14:30:00,Team gamed!de,Counter Logic Gaming,0,1,2
1795,Worlds Season 1,World Championship,WCS,2011-06-18 16:00:00,Team gamed!de,Xan,1,0,1
1796,Worlds Season 1,World Championship,WCS,2011-06-18 17:15:00,TSM,Counter Logic Gaming,1,0,1
1798,Worlds Season 1,World Championship,WCS,2011-06-18 18:30:00,TSM,Team gamed!de,1,0,1
1797,Worlds Season 1,World Championship,WCS,2011-06-18 18:30:00,Counter Logic Gaming,Xan,1,0,1
1799,Worlds Season 1,World Championship,WCS,2011-06-19 09:30:00,against All authority,Team gamed!de,2,0,1
1800,Worlds Season 1,World Championship,WCS,2011-06-19 10:45:00,Counter Logic Gaming,Fnatic,1,2,2
1801,Worlds Season 1,World Championship,WCS,2011-06-19 13:00:00,Team gamed!de,Counter Logic Gaming,0,1,2
1802,Worlds Season 1,World Championship,WCS,2011-06-19 14:00:00,against All authority,TSM,2,1,1
1803,Worlds Season 1,World Championship,WCS,2011-06-19 18:00:00,Epik Gamer,Fnatic,0,2,2
1804,Worlds Season 1,World Championship,WCS,2011-06-20 11:30:00,against All authority,Fnatic,0,2,2
1805,Worlds Season 1,World Championship,WCS,2011-06-20 14:00:00,TSM,Epik Gamer,2,0,1
1806,Worlds Season 1,World Championship,WCS,2011-06-20 17:30:00,against All authority,TSM,2,0,1
1807,Worlds Season 1,World Championship,WCS,2011-06-20 21:00:00,Fnatic,against All authority,2,1,1
0,GPL 2012 Opening Event,Garena Premier League,GPL,2012-05-06 07:59:00,Bangkok Titans,Saigon Jokers,0,1,2
7,GPL 2012 Opening Event,Garena Premier League,GPL,2012-05-06 07:59:00,Taipei Assassins,Saigon Jokers,1,0,1
3,GPL 2012 Opening Event,Garena Premier League,GPL,2012-05-06 07:59:00,Saigon Jokers,Singapore Sentinels,0,1,2
4,GPL 2012 Opening Event,Garena Premier League,GPL,2012-05-06 07:59:00,Singapore Sentinels,Kuala Lumpur Hunters,1,0,1
5,GPL 2012 Opening Event,Garena Premier League,GPL,2012-05-06 07:59:00,Singapore Sentinels,Manila Eagles,1,0,1
6,GPL 2012 Opening Event,Garena Premier League,GPL,2012-05-06 07:59:00,Taipei Assassins,Bangkok Titans,1,0,1
8,GPL 2012 Opening Event,Garena Premier League,GPL,2012-05-06 07:59:00,Taipei Assassins,Kuala Lumpur Hunters,1,0,1
9,GPL 2012 Opening Event,Garena Premier League,GPL,2012-05-06 07:59:00,Taipei Assassins,Singapore Sentinels,1,0,1
10,GPL 2012 Opening Event,Garena Premier League,GPL,2012-05-06 07:59:00,Tt Dragons Taiwan,CrossGaming,0,1,2
2,GPL 2012 Opening Event,Garena Premier League,GPL,2012-05-06 07:59:00,Manila Eagles,Kuala Lumpur Hunters,0,1,2
1,GPL 2012 Opening Event,Garena Premier League,GPL,2012-05-06 07:59:00,Kuala Lumpur Hunters,Saigon Jokers,0,1,2
11,GPL 2012 Season 1,Garena Premier League,GPL,2012-05-18 11:00:00,Singapore Sentinels,Bangkok Titans,1,0,1
12,GPL 2012 Season 1,Garena Premier League,GPL,2012-05-18 12:00:00,Taipei Assassins,Manila Eagles,1,0,1
13,GPL 2012 Season 1,Garena Premier League,GPL,2012-05-19 11:00:00,Kuala Lumpur Hunters,Saigon Jokers,0,1,2
14,GPL 2012 Season 1,Garena Premier League,GPL,2012-05-19 12:00:00,Bangkok Titans,Manila Eagles,0,1,2
15,GPL 2012 Season 1,Garena Premier League,GPL,2012-05-20 11:00:00,Saigon Jokers,Singapore Sentinels,0,1,2
16,GPL 2012 Season 1,Garena Premier League,GPL,2012-05-20 12:00:00,Kuala Lumpur Hunters,Taipei Assassins,0,1,2
17,GPL 2012 Season 1,Garena Premier League,GPL,2012-05-25 11:00:00,Singapore Sentinels,Manila Eagles,1,0,1
18,GPL 2012 Season 1,Garena Premier League,GPL,2012-05-25 12:00:00,Saigon Jokers,Taipei Assassins,0,1,2
19,GPL 2012 Season 1,Garena Premier League,GPL,2012-05-26 11:00:00,Bangkok Titans,Kuala Lumpur Hunters,0,1,2
20,GPL 2012 Season 1,Garena Premier League,GPL,2012-05-26 12:00:00,Taipei Assassins,Singapore Sentinels,1,0,1
21,GPL 2012 Season 1,Garena Premier League,GPL,2012-05-27 11:00:00,Manila Eagles,Kuala Lumpur Hunters,0,1,2
22,GPL 2012 Season 1,Garena Premier League,GPL,2012-05-27 12:00:00,Saigon Jokers,Bangkok Titans,1,0,1
23,GPL 2012 Season 1,Garena Premier League,GPL,2012-06-01 11:00:00,Singapore Sentinels,Kuala Lumpur Hunters,1,0,1
24,GPL 2012 Season 1,Garena Premier League,GPL,2012-06-01 12:00:00,Taipei Assassins,Bangkok Titans,1,0,1
25,GPL 2012 Season 1,Garena Premier League,GPL,2012-06-02 11:00:00,Manila Eagles,Saigon Jokers,1,0,1
26,GPL 2012 Season 1,Garena Premier League,GPL,2012-06-02 12:00:00,Bangkok Titans,Singapore Sentinels,0,1,2
27,GPL 2012 Season 1,Garena Premier League,GPL,2012-06-03 11:00:00,Saigon Jokers,Kuala Lumpur Hunters,0,1,2
28,GPL 2012 Season 1,Garena Premier League,GPL,2012-06-03 12:00:00,Manila Eagles,Taipei Assassins,1,0,1
29,GPL 2012 Season 1,Garena Premier League,GPL,2012-06-08 11:00:00,Singapore Sentinels,Saigon Jokers,1,0,1
30,GPL 2012 Season 1,Garena Premier League,GPL,2012-06-08 12:00:00,Taipei Assassins,Kuala Lumpur Hunters,1,0,1
31,GPL 2012 Season 1,Garena Premier League,GPL,2012-06-09 11:00:00,Manila Eagles,Bangkok Titans,1,0,1
32,GPL 2012 Season 1,Garena Premier League,GPL,2012-06-09 12:00:00,Kuala Lumpur Hunters,Bangkok Titans,1,0,1
33,GPL 2012 Season 1,Garena Premier League,GPL,2012-06-10 11:00:00,Manila Eagles,Singapore Sentinels,0,1,2
34,GPL 2012 Season 1,Garena Premier League,GPL,2012-06-10 12:00:00,Taipei Assassins,Saigon Jokers,1,0,1
35,GPL 2012 Season 1,Garena Premier League,GPL,2012-06-15 11:00:00,Saigon Jokers,Manila Eagles,1,0,1
36,GPL 2012 Season 1,Garena Premier League,GPL,2012-06-15 12:00:00,Bangkok Titans,Taipei Assassins,0,1,2
37,GPL 2012 Season 1,Garena Premier League,GPL,2012-06-16 11:00:00,Kuala Lumpur Hunters,Singapore Sentinels,0,1,2
38,GPL 2012 Season 1,Garena Premier League,GPL,2012-06-16 12:00:00,Bangkok Titans,Saigon Jokers,0,1,2
39,GPL 2012 Season 1,Garena Premier League,GPL,2012-06-17 11:00:00,Kuala Lumpur Hunters,Manila Eagles,1,0,1
40,GPL 2012 Season 1,Garena Premier League,GPL,2012-06-17 12:00:00,Singapore Sentinels,Taipei Assassins,0,1,2
41,GPL 2012 Season 1,Garena Premier League,GPL,2012-06-22 11:00:00,Singapore Sentinels,Bangkok Titans,1,0,1
42,GPL 2012 Season 1,Garena Premier League,GPL,2012-06-22 12:00:00,Taipei Assassins,Manila Eagles,1,0,1
43,GPL 2012 Season 1,Garena Premier League,GPL,2012-06-23 11:00:00,Kuala Lumpur Hunters,Saigon Jokers,0,1,2
44,GPL 2012 Season 1,Garena Premier League,GPL,2012-06-23 12:00:00,Bangkok Titans,Manila Eagles,0,1,2
45,GPL 2012 Season 1,Garena Premier League,GPL,2012-06-24 11:00:00,Saigon Jokers,Singapore Sentinels,0,1,2
46,GPL 2012 Season 1,Garena Premier League,GPL,2012-06-24 12:00:00,Kuala Lumpur Hunters,Taipei Assassins,0,1,2
47,GPL 2012 Season 1,Garena Premier League,GPL,2012-06-29 11:00:00,Singapore Sentinels,Manila Eagles,1,0,1
48,GPL 2012 Season 1,Garena Premier League,GPL,2012-06-29 12:00:00,Saigon Jokers,Taipei Assassins,0,1,2
49,GPL 2012 Season 1,Garena Premier League,GPL,2012-06-30 11:00:00,Bangkok Titans,Kuala Lumpur Hunters,0,1,2
50,GPL 2012 Season 1,Garena Premier League,GPL,2012-06-30 12:00:00,Taipei Assassins,Singapore Sentinels,0,1,2
51,GPL 2012 Season 1,Garena Premier League,GPL,2012-07-01 11:00:00,Manila Eagles,Kuala Lumpur Hunters,1,0,1
52,GPL 2012 Season 1,Garena Premier League,GPL,2012-07-01 12:00:00,Saigon Jokers,Bangkok Titans,1,0,1
53,GPL 2012 Season 1,Garena Premier League,GPL,2012-07-06 11:00:00,Singapore Sentinels,Kuala Lumpur Hunters,1,0,1
54,GPL 2012 Season 1,Garena Premier League,GPL,2012-07-06 12:00:00,Taipei Assassins,Bangkok Titans,1,0,1
55,GPL 2012 Season 1,Garena Premier League,GPL,2012-07-07 11:00:00,Manila Eagles,Saigon Jokers,0,1,2
56,GPL 2012 Season 1,Garena Premier League,GPL,2012-07-07 12:00:00,Bangkok Titans,Singapore Sentinels,0,1,2
57,GPL 2012 Season 1,Garena Premier League,GPL,2012-07-08 11:00:00,Saigon Jokers,Kuala Lumpur Hunters,1,0,1
58,GPL 2012 Season 1,Garena Premier League,GPL,2012-07-08 12:00:00,Manila Eagles,Taipei Assassins,0,1,2
59,GPL 2012 Season 1,Garena Premier League,GPL,2012-07-27 11:00:00,Singapore Sentinels,Saigon Jokers,1,0,1
60,GPL 2012 Season 1,Garena Premier League,GPL,2012-07-27 12:00:00,Kuala Lumpur Hunters,Bangkok Titans,1,0,1
61,GPL 2012 Season 1,Garena Premier League,GPL,2012-07-28 11:00:00,Manila Eagles,Bangkok Titans,1,0,1
62,GPL 2012 Season 1,Garena Premier League,GPL,2012-07-28 12:00:00,Taipei Assassins,Saigon Jokers,1,0,1
63,GPL 2012 Season 1,Garena Premier League,GPL,2012-07-29 11:00:00,Manila Eagles,Singapore Sentinels,0,1,2
64,GPL 2012 Season 1,Garena Premier League,GPL,2012-07-29 12:00:00,Taipei Assassins,Kuala Lumpur Hunters,1,0,1
65,GPL 2012 Season 1,Garena Premier League,GPL,2012-08-03 11:00:00,Saigon Jokers,Manila Eagles,1,0,1
66,GPL 2012 Season 1,Garena Premier League,GPL,2012-08-03 12:00:00,Bangkok Titans,Taipei Assassins,0,1,2
67,GPL 2012 Season 1,Garena Premier League,GPL,2012-08-04 11:00:00,Kuala Lumpur Hunters,Singapore Sentinels,0,1,2
68,GPL 2012 Season 1,Garena Premier League,GPL,2012-08-04 12:00:00,Bangkok Titans,Saigon Jokers,0,1,2
69,GPL 2012 Season 1,Garena Premier League,GPL,2012-08-05 11:00:00,Kuala Lumpur Hunters,Manila Eagles,1,0,1
70,GPL 2012 Season 1,Garena Premier League,GPL,2012-08-05 12:00:00,Singapore Sentinels,Taipei Assassins,0,1,2
71,GPL 2012 Season 1,Garena Premier League,GPL,2012-08-10 11:00:00,Kuala Lumpur Hunters,Saigon Jokers,0,1,2
72,GPL 2012 Season 1,Garena Premier League,GPL,2012-08-10 12:00:00,Taipei Assassins,Manila Eagles,1,0,1
73,GPL 2012 Season 1,Garena Premier League,GPL,2012-08-11 11:00:00,Bangkok Titans,Manila Eagles,0,1,2
74,GPL 2012 Season 1,Garena Premier League,GPL,2012-08-11 12:00:00,Kuala Lumpur Hunters,Taipei Assassins,0,1,2
75,GPL 2012 Season 1,Garena Premier League,GPL,2012-08-15 11:00:00,Singapore Sentinels,Bangkok Titans,1,0,1
76,GPL 2012 Season 1,Garena Premier League,GPL,2012-08-15 12:00:00,Saigon Jokers,Singapore Sentinels,0,1,2
941,EU Regional Finals Season 2,World Championship,WCS,2012-08-16 10:00:00,Team Curse Europe,Fnatic,0,2,2
942,EU Regional Finals Season 2,World Championship,WCS,2012-08-16 13:00:00,Moscow Five,EloHell,2,0,1
943,EU Regional Finals Season 2,World Championship,WCS,2012-08-17 10:00:00,SK Gaming,Team Acer Poland,2,0,1
77,GPL 2012 Season 1,Garena Premier League,GPL,2012-08-17 11:00:00,Manila Eagles,Kuala Lumpur Hunters,0,1,2
78,GPL 2012 Season 1,Garena Premier League,GPL,2012-08-17 12:00:00,Saigon Jokers,Taipei Assassins,0,1,2
944,EU Regional Finals Season 2,World Championship,WCS,2012-08-17 13:00:00,Team ALTERNATE,Counter Logic Gaming Europe,0,2,2
945,EU Regional Finals Season 2,World Championship,WCS,2012-08-18 10:00:00,Moscow Five,Fnatic,2,1,1
79,GPL 2012 Season 1,Garena Premier League,GPL,2012-08-18 11:00:00,Saigon Jokers,Bangkok Titans,1,0,1
80,GPL 2012 Season 1,Garena Premier League,GPL,2012-08-18 12:00:00,Singapore Sentinels,Manila Eagles,1,0,1
946,EU Regional Finals Season 2,World Championship,WCS,2012-08-18 13:00:00,SK Gaming,Counter Logic Gaming Europe,2,0,1
947,EU Regional Finals Season 2,World Championship,WCS,2012-08-19 09:00:00,Fnatic,Counter Logic Gaming Europe,0,2,2
81,GPL 2012 Season 1,Garena Premier League,GPL,2012-08-19 11:00:00,Bangkok Titans,Kuala Lumpur Hunters,0,1,2
82,GPL 2012 Season 1,Garena Premier League,GPL,2012-08-19 12:00:00,Taipei Assassins,Singapore Sentinels,1,0,1
948,EU Regional Finals Season 2,World Championship,WCS,2012-08-19 12:00:00,Moscow Five,SK Gaming,2,0,1
83,GPL 2012 Season 1,Garena Premier League,GPL,2012-08-24 11:00:00,Manila Eagles,Saigon Jokers,0,1,2
84,GPL 2012 Season 1,Garena Premier League,GPL,2012-08-24 12:00:00,Saigon Jokers,Kuala Lumpur Hunters,1,0,1
85,GPL 2012 Season 1,Garena Premier League,GPL,2012-08-25 11:00:00,Bangkok Titans,Singapore Sentinels,0,1,2
86,GPL 2012 Season 1,Garena Premier League,GPL,2012-08-25 12:00:00,Taipei Assassins,Bangkok Titans,1,0,1
87,GPL 2012 Season 1,Garena Premier League,GPL,2012-08-26 11:00:00,Singapore Sentinels,Kuala Lumpur Hunters,1,0,1
88,GPL 2012 Season 1,Garena Premier League,GPL,2012-08-26 12:00:00,Taipei Assassins,Manila Eagles,1,0,1
968,Korea Regional Finals Season 2,World Championship,WCS,2012-09-12 10:30:00,Incredible Miracle,CJ Entus,3,1,1
969,Korea Regional Finals Season 2,World Championship,WCS,2012-09-14 10:30:00,NaJin Sword,Incredible Miracle,3,1,1
89,GPL 2012 Season 1,Garena Premier League,GPL,2012-09-14 11:00:00,Singapore Sentinels,Saigon Jokers,1,0,1
90,GPL 2012 Season 1,Garena Premier League,GPL,2012-09-14 12:00:00,Taipei Assassins,Kuala Lumpur Hunters,1,0,1
91,GPL 2012 Season 1,Garena Premier League,GPL,2012-09-15 11:00:00,Manila Eagles,Bangkok Titans,1,0,1
92,GPL 2012 Season 1,Garena Premier League,GPL,2012-09-15 12:00:00,Kuala Lumpur Hunters,Bangkok Titans,1,0,1
93,GPL 2012 Season 1,Garena Premier League,GPL,2012-09-16 11:00:00,Manila Eagles,Singapore Sentinels,0,1,2
94,GPL 2012 Season 1,Garena Premier League,GPL,2012-09-16 12:00:00,Taipei Assassins,Saigon Jokers,1,0,1
970,Korea Regional Finals Season 2,World Championship,WCS,2012-09-19 10:30:00,Xenics Storm,NaJin Sword,0,3,2
971,Korea Regional Finals Season 2,World Championship,WCS,2012-09-21 10:30:00,Azubu Blaze,NaJin Sword,2,3,2
95,GPL 2012 Season 1,Garena Premier League,GPL,2012-09-21 11:00:00,Saigon Jokers,Manila Eagles,1,0,1
96,GPL 2012 Season 1,Garena Premier League,GPL,2012-09-21 12:00:00,Bangkok Titans,Taipei Assassins,0,1,2
97,GPL 2012 Season 1,Garena Premier League,GPL,2012-09-22 11:00:00,Kuala Lumpur Hunters,Singapore Sentinels,1,0,1
98,GPL 2012 Season 1,Garena Premier League,GPL,2012-09-22 12:00:00,Bangkok Titans,Saigon Jokers,0,1,2
99,GPL 2012 Season 1,Garena Premier League,GPL,2012-09-23 11:00:00,Kuala Lumpur Hunters,Manila Eagles,1,0,1
100,GPL 2012 Season 1,Garena Premier League,GPL,2012-09-23 12:00:00,Singapore Sentinels,Taipei Assassins,0,1,2
101,GPL 2012 Season 1,Garena Premier League,GPL,2012-09-28 11:00:00,Singapore Sentinels,Bangkok Titans,1,0,1
102,GPL 2012 Season 1,Garena Premier League,GPL,2012-09-28 12:00:00,Taipei Assassins,Manila Eagles,1,0,1
103,GPL 2012 Season 1,Garena Premier League,GPL,2012-09-29 11:00:00,Kuala Lumpur Hunters,Saigon Jokers,0,1,2
104,GPL 2012 Season 1,Garena Premier League,GPL,2012-09-29 12:00:00,Kuala Lumpur Hunters,Taipei Assassins,0,1,2
105,GPL 2012 Season 1,Garena Premier League,GPL,2012-09-30 11:00:00,Bangkok Titans,Manila Eagles,1,0,1
106,GPL 2012 Season 1,Garena Premier League,GPL,2012-09-30 12:00:00,Saigon Jokers,Singapore Sentinels,0,1,2
1823,Worlds Season 2,World Championship,WCS,2012-10-04 16:00:00,Azubu Frost,Invictus Gaming,1,0,1
1824,Worlds Season 2,World Championship,WCS,2012-10-04 17:00:00,CLG Prime,Invictus Gaming,0,1,2
1825,Worlds Season 2,World Championship,WCS,2012-10-04 18:00:00,Azubu Frost,SK Gaming,1,0,1
1826,Worlds Season 2,World Championship,WCS,2012-10-04 19:00:00,SK Gaming,CLG Prime,0,1,2
1827,Worlds Season 2,World Championship,WCS,2012-10-04 20:00:00,CLG Prime,Azubu Frost,0,1,2
1828,Worlds Season 2,World Championship,WCS,2012-10-04 21:00:00,SK Gaming,Invictus Gaming,0,1,2
1829,Worlds Season 2,World Championship,WCS,2012-10-04 22:00:00,Dignitas,Counter Logic Gaming Europe,0,1,2
1830,Worlds Season 2,World Championship,WCS,2012-10-04 23:00:00,NaJin Sword,Saigon Jokers,1,0,1
1831,Worlds Season 2,World Championship,WCS,2012-10-05 00:00:00,NaJin Sword,Counter Logic Gaming Europe,1,0,1
1832,Worlds Season 2,World Championship,WCS,2012-10-05 01:00:00,Dignitas,Saigon Jokers,0,1,2
1833,Worlds Season 2,World Championship,WCS,2012-10-05 02:00:00,Counter Logic Gaming Europe,Saigon Jokers,1,0,1
1834,Worlds Season 2,World Championship,WCS,2012-10-05 03:00:00,NaJin Sword,Dignitas,1,0,1
1835,Worlds Season 2,World Championship,WCS,2012-10-05 19:00:00,Moscow Five,Invictus Gaming,2,0,1
1836,Worlds Season 2,World Championship,WCS,2012-10-05 21:00:00,Taipei Assassins,NaJin Sword,2,0,1
1837,Worlds Season 2,World Championship,WCS,2012-10-05 23:00:00,TSM,Azubu Frost,0,2,2
1838,Worlds Season 2,World Championship,WCS,2012-10-11 00:00:00,Team WE,Counter Logic Gaming Europe,1,2,2
1839,Worlds Season 2,World Championship,WCS,2012-10-11 02:00:00,Moscow Five,Taipei Assassins,1,2,2
1840,Worlds Season 2,World Championship,WCS,2012-10-11 04:00:00,Azubu Frost,Counter Logic Gaming Europe,2,1,1
1841,Worlds Season 2,World Championship,WCS,2012-10-14 00:30:00,Taipei Assassins,Azubu Frost,3,1,1
107,GPL 2012 Season 1,Garena Premier League,GPL,2012-10-19 11:00:00,Singapore Sentinels,Manila Eagles,1,0,1
108,GPL 2012 Season 1,Garena Premier League,GPL,2012-10-19 12:00:00,Saigon Jokers,Taipei Assassins,0,1,2
109,GPL 2012 Season 1,Garena Premier League,GPL,2012-10-23 11:00:00,Manila Eagles,Kuala Lumpur Hunters,1,0,1
110,GPL 2012 Season 1,Garena Premier League,GPL,2012-10-23 12:00:00,Taipei Assassins,Singapore Sentinels,1,0,1
111,GPL 2012 Season 1,Garena Premier League,GPL,2012-10-24 11:00:00,Bangkok Titans,Kuala Lumpur Hunters,1,0,1
112,GPL 2012 Season 1,Garena Premier League,GPL,2012-10-24 12:00:00,Saigon Jokers,Bangkok Titans,1,0,1
113,GPL 2012 Season 1,Garena Premier League,GPL,2012-10-26 11:00:00,Singapore Sentinels,Kuala Lumpur Hunters,0,1,2
114,GPL 2012 Season 1,Garena Premier League,GPL,2012-10-26 12:00:00,Bangkok Titans,Singapore Sentinels,1,0,1
115,GPL 2012 Season 1,Garena Premier League,GPL,2012-10-27 11:00:00,Taipei Assassins,Bangkok Titans,1,0,1
116,GPL 2012 Season 1,Garena Premier League,GPL,2012-10-27 12:00:00,Saigon Jokers,Kuala Lumpur Hunters,1,0,1
117,GPL 2012 Season 1,Garena Premier League,GPL,2012-10-28 11:00:00,Manila Eagles,Saigon Jokers,1,0,1
118,GPL 2012 Season 1,Garena Premier League,GPL,2012-10-28 12:00:00,Manila Eagles,Taipei Assassins,0,1,2
119,GPL 2012 Season 1,Garena Premier League,GPL,2012-11-02 11:00:00,Singapore Sentinels,Saigon Jokers,1,0,1
120,GPL 2012 Season 1,Garena Premier League,GPL,2012-11-02 12:00:00,Taipei Assassins,Kuala Lumpur Hunters,1,0,1
121,GPL 2012 Season 1,Garena Premier League,GPL,2012-11-03 11:00:00,Manila Eagles,Bangkok Titans,0,1,2
122,GPL 2012 Season 1,Garena Premier League,GPL,2012-11-03 12:00:00,Kuala Lumpur Hunters,Bangkok Titans,1,0,1
123,GPL 2012 Season 1,Garena Premier League,GPL,2012-11-04 12:00:00,Manila Eagles,Singapore Sentinels,0,1,2
124,GPL 2012 Season 1,Garena Premier League,GPL,2012-11-04 13:00:00,Taipei Assassins,Saigon Jokers,1,0,1
125,GPL 2012 Season 1,Garena Premier League,GPL,2012-11-09 12:00:00,Singapore Sentinels,Taipei Assassins,0,1,2
126,GPL 2012 Season 1,Garena Premier League,GPL,2012-11-09 13:00:00,Bangkok Titans,Taipei Assassins,0,1,2
127,GPL 2012 Season 1,Garena Premier League,GPL,2012-11-10 12:00:00,Kuala Lumpur Hunters,Singapore Sentinels,1,0,1
128,GPL 2012 Season 1,Garena Premier League,GPL,2012-11-10 13:00:00,Bangkok Titans,Saigon Jokers,0,1,2
129,GPL 2012 Season 1,Garena Premier League,GPL,2012-11-11 12:00:00,Kuala Lumpur Hunters,Manila Eagles,0,1,2
130,GPL 2012 Season 1,Garena Premier League,GPL,2012-11-11 13:00:00,Saigon Jokers,Manila Eagles,1,0,1
131,GPL 2012 Season 1 Playoffs,Garena Premier League,GPL,2012-11-18 07:59:00,Singapore Sentinels,Saigon Jokers,2,0,1
132,GPL 2012 Season 1 Playoffs,Garena Premier League,GPL,2012-11-18 07:59:00,Taipei Assassins,Singapore Sentinels,3,1,1
134,GPL 2013 Spring,Garena Premier League,GPL,2013-01-04 11:00:00,Bangkok Titans,Kuala Lumpur Hunters,1,0,1
135,GPL 2013 Spring,Garena Premier League,GPL,2013-01-04 12:00:00,ahq eSports Club,Kuala Lumpur Hunters,1,0,1
136,GPL 2013 Spring,Garena Premier League,GPL,2013-01-04 13:00:00,Manila Eagles,Taipei Assassins,0,1,2
137,GPL 2013 Spring,Garena Premier League,GPL,2013-01-05 11:00:00,ahq eSports Club,Singapore Sentinels,0,1,2
138,GPL 2013 Spring,Garena Premier League,GPL,2013-01-05 12:00:00,Manila Eagles,Bangkok Titans,0,1,2
139,GPL 2013 Spring,Garena Premier League,GPL,2013-01-05 13:00:00,Saigon Fantastic Five,Saigon Jokers,0,1,2
140,GPL 2013 Spring,Garena Premier League,GPL,2013-01-06 11:00:00,Saigon Jokers,Singapore Sentinels,1,0,1
141,GPL 2013 Spring,Garena Premier League,GPL,2013-01-06 12:00:00,Saigon Fantastic Five,Taipei Assassins,0,1,2
16973,NA LCS 2013 Spring Qualifiers,North America League Championship Series,NA LCS,2013-01-11 06:00:00,Azure Gaming,The Salad Bar,1,0,1
16974,NA LCS 2013 Spring Qualifiers,North America League Championship Series,NA LCS,2013-01-11 06:00:00,Cloud9,Team MRN,0,1,2
16975,NA LCS 2013 Spring Qualifiers,North America League Championship Series,NA LCS,2013-01-11 07:00:00,Cloud9,The Salad Bar,1,0,1
16976,NA LCS 2013 Spring Qualifiers,North America League Championship Series,NA LCS,2013-01-11 07:00:00,Team MRN,Azure Gaming,1,0,1
142,GPL 2013 Spring,Garena Premier League,GPL,2013-01-11 11:00:00,Bangkok Titans,Saigon Jokers,0,1,2
143,GPL 2013 Spring,Garena Premier League,GPL,2013-01-11 12:00:00,Saigon Fantastic Five,Singapore Sentinels,0,1,2
144,GPL 2013 Spring,Garena Premier League,GPL,2013-01-11 13:00:00,ahq eSports Club,Taipei Assassins,0,1,2
16978,NA LCS 2013 Spring Qualifiers,North America League Championship Series,NA LCS,2013-01-11 19:00:00,Team FeaR,Team TowerDiveTV,1,0,1
16977,NA LCS 2013 Spring Qualifiers,North America League Championship Series,NA LCS,2013-01-11 19:00:00,Good Game University,Epik Gamer,1,0,1
16980,NA LCS 2013 Spring Qualifiers,North America League Championship Series,NA LCS,2013-01-11 20:00:00,Team TowerDiveTV,Epik Gamer,1,0,1
16979,NA LCS 2013 Spring Qualifiers,North America League Championship Series,NA LCS,2013-01-11 20:00:00,Team FeaR,Good Game University,1,0,1
16981,NA LCS 2013 Spring Qualifiers,North America League Championship Series,NA LCS,2013-01-11 21:00:00,Good Game University,Team TowerDiveTV,1,0,1
16983,NA LCS 2013 Spring Qualifiers,North America League Championship Series,NA LCS,2013-01-11 23:00:00,Meat Playground,Falafel Gaming,1,0,1
