,Tournament,League,League_short,Date,Team1,Team2,Team1Score,Team2Score,Winner
19522,EU LCS 2018 Summer,Europe League Championship Series,EU LCS,2018-06-15 16:00:00,Splyce,Team Vitality,0,1,2
19523,EU LCS 2018 Summer,Europe League Championship Series,EU LCS,2018-06-15 17:00:00,H2k-Gaming,Giants Gaming,0,1,2
8602,CBLOL 2018 Split 2,Circuit Brazilian League of Legends,CBLOL,2018-06-15 17:30:00,Vivo Keyd,INTZ,2,0,1
19524,EU LCS 2018 Summer,Europe League Championship Series,EU LCS,2018-06-15 18:00:00,FC Schalke 04 Esports,Unicorns of Love,1,0,1
19525,EU LCS 2018 Summer,Europe League Championship Series,EU LCS,2018-06-15 19:00:00,G2 Esports,Team ROCCAT,1,0,1
19526,EU LCS 2018 Summer,Europe League Championship Series,EU LCS,2018-06-15 20:00:00,Fnatic,Misfits Gaming,0,1,2
6680,LPL 2018 Summer,Tencent LoL Pro League,LPL,2018-06-16 06:00:00,Suning,LGD Gaming,2,0,1
12395,OPL 2018 Split 2,Oceanic Pro League,OPL,2018-06-16 07:00:00,ORDER,Tectonic,0,2,2
4405,LCK 2018 Summer,LoL Champions Korea,LCK,2018-06-16 08:00:00,Afreeca Freecs,KT Rolster,2,1,1
6681,LPL 2018 Summer,Tencent LoL Pro League,LPL,2018-06-16 09:00:00,Rogue Warriors,Oh My God,2,0,1
12396,OPL 2018 Split 2,Oceanic Pro League,OPL,2018-06-16 10:00:00,Avant Gaming,Dire Wolves,1,2,2
4406,LCK 2018 Summer,LoL Champions Korea,LCK,2018-06-16 11:00:00,bbq Olivers,Griffin (Korean Team),1,2,2
6682,LPL 2018 Summer,Tencent LoL Pro League,LPL,2018-06-16 11:00:00,Team WE,Topsports Gaming,0,2,2
14819,TCL 2018 Summer,Turkish Championship League,TCL,2018-06-16 12:00:00,Fenerbahçe Esports,Dark Passage,1,0,1
14820,TCL 2018 Summer,Turkish Championship League,TCL,2018-06-16 13:00:00,HWA Gaming,Bursaspor Esports,1,0,1
14821,TCL 2018 Summer,Turkish Championship League,TCL,2018-06-16 14:00:00,YouthCrew Esports,Team AURORA,1,0,1
14822,TCL 2018 Summer,Turkish Championship League,TCL,2018-06-16 15:00:00,SuperMassive Esports,Royal Bandits,1,0,1
8603,CBLOL 2018 Split 2,Circuit Brazilian League of Legends,CBLOL,2018-06-16 15:00:00,KaBuM! Esports,Flamengo Esports,1,2,2
19527,EU LCS 2018 Summer,Europe League Championship Series,EU LCS,2018-06-16 15:00:00,Team ROCCAT,H2k-Gaming,1,0,1
19946,CLS 2018 Closing,Copa Latinoamérica Sur,CLS,2018-06-16 16:00:00,Isurus,Furious Gaming,1,0,1
19528,EU LCS 2018 Summer,Europe League Championship Series,EU LCS,2018-06-16 16:00:00,Misfits Gaming,Unicorns of Love,1,0,1
19947,CLS 2018 Closing,Copa Latinoamérica Sur,CLS,2018-06-16 17:00:00,Evilvice Esports,Dark Horse,1,0,1
19529,EU LCS 2018 Summer,Europe League Championship Series,EU LCS,2018-06-16 17:00:00,Team Vitality,Giants Gaming,1,0,1
8604,CBLOL 2018 Split 2,Circuit Brazilian League of Legends,CBLOL,2018-06-16 17:30:00,Ilha da Macacada Gaming,CNB e-Sports Club,0,2,2
19530,EU LCS 2018 Summer,Europe League Championship Series,EU LCS,2018-06-16 18:00:00,Fnatic,FC Schalke 04 Esports,1,0,1
19948,CLS 2018 Closing,Copa Latinoamérica Sur,CLS,2018-06-16 18:00:00,Legatum,Hafnet eSports,1,0,1
19531,EU LCS 2018 Summer,Europe League Championship Series,EU LCS,2018-06-16 19:00:00,G2 Esports,Splyce,1,0,1
19949,CLS 2018 Closing,Copa Latinoamérica Sur,CLS,2018-06-16 19:00:00,Rebirth eSports,Kaos Latin Gamers,1,0,1
19745,LLN 2018 Closing,Liga Latinoamérica Norte,LLN,2018-06-16 21:00:00,Gaming Gaming,ZAGA Talent Gaming,0,1,2
18157,NA LCS 2018 Summer,North America League Championship Series,NA LCS,2018-06-16 21:00:00,Team Liquid,100 Thieves,1,0,1
19746,LLN 2018 Closing,Liga Latinoamérica Norte,LLN,2018-06-16 22:00:00,Pixel Esports Club,Predators Esports,1,0,1
18158,NA LCS 2018 Summer,North America League Championship Series,NA LCS,2018-06-16 22:00:00,TSM,Counter Logic Gaming,1,0,1
18159,NA LCS 2018 Summer,North America League Championship Series,NA LCS,2018-06-16 23:00:00,Clutch Gaming,Cloud9,1,0,1
19747,LLN 2018 Closing,Liga Latinoamérica Norte,LLN,2018-06-16 23:00:00,6Sense,Dash9 Gaming,1,0,1
18160,NA LCS 2018 Summer,North America League Championship Series,NA LCS,2018-06-17 00:00:00,Echo Fox,FlyQuest,1,0,1
19748,LLN 2018 Closing,Liga Latinoamérica Norte,LLN,2018-06-17 00:00:00,Rainbow7,INFINITY,1,0,1
18161,NA LCS 2018 Summer,North America League Championship Series,NA LCS,2018-06-17 01:00:00,Golden Guardians,OpTic Gaming,0,1,2
6683,LPL 2018 Summer,Tencent LoL Pro League,LPL,2018-06-17 06:00:00,EDward Gaming,FunPlus Phoenix,2,1,1
4407,LCK 2018 Summer,LoL Champions Korea,LCK,2018-06-17 08:00:00,MVP,Gen.G,0,2,2
6684,LPL 2018 Summer,Tencent LoL Pro League,LPL,2018-06-17 09:00:00,Team WE,Snake Esports,1,2,2
6685,LPL 2018 Summer,Tencent LoL Pro League,LPL,2018-06-17 11:00:00,Royal Never Give Up,JD Gaming,1,2,2
4408,LCK 2018 Summer,LoL Champions Korea,LCK,2018-06-17 11:00:00,Jin Air Green Wings,Hanwha Life Esports,0,2,2
14823,TCL 2018 Summer,Turkish Championship League,TCL,2018-06-17 12:00:00,Team AURORA,Royal Bandits,1,0,1
14824,TCL 2018 Summer,Turkish Championship League,TCL,2018-06-17 13:00:00,YouthCrew Esports,HWA Gaming,0,1,2
14825,TCL 2018 Summer,Turkish Championship League,TCL,2018-06-17 14:00:00,Bursaspor Esports,Dark Passage,0,1,2
14826,TCL 2018 Summer,Turkish Championship League,TCL,2018-06-17 15:00:00,SuperMassive Esports,Fenerbahçe Esports,0,1,2
19950,CLS 2018 Closing,Copa Latinoamérica Sur,CLS,2018-06-17 16:00:00,Legatum,Kaos Latin Gamers,0,1,2
19951,CLS 2018 Closing,Copa Latinoamérica Sur,CLS,2018-06-17 17:00:00,Evilvice Esports,Hafnet eSports,1,0,1
19952,CLS 2018 Closing,Copa Latinoamérica Sur,CLS,2018-06-17 18:00:00,Furious Gaming,Dark Horse,1,0,1
18162,NA LCS 2018 Summer,North America League Championship Series,NA LCS,2018-06-17 19:00:00,TSM,FlyQuest,1,0,1
19953,CLS 2018 Closing,Copa Latinoamérica Sur,CLS,2018-06-17 19:00:00,Isurus,Rebirth eSports,0,1,2
18163,NA LCS 2018 Summer,North America League Championship Series,NA LCS,2018-06-17 20:00:00,Team Liquid,Golden Guardians,0,1,2
18164,NA LCS 2018 Summer,North America League Championship Series,NA LCS,2018-06-17 21:00:00,Counter Logic Gaming,100 Thieves,1,0,1
19749,LLN 2018 Closing,Liga Latinoamérica Norte,LLN,2018-06-17 21:00:00,ZAGA Talent Gaming,Pixel Esports Club,0,1,2
19750,LLN 2018 Closing,Liga Latinoamérica Norte,LLN,2018-06-17 22:00:00,6Sense,Rainbow7,1,0,1
18165,NA LCS 2018 Summer,North America League Championship Series,NA LCS,2018-06-17 22:00:00,Clutch Gaming,Echo Fox,0,1,2
19751,LLN 2018 Closing,Liga Latinoamérica Norte,LLN,2018-06-17 23:00:00,Gaming Gaming,INFINITY,0,1,2
