,Tournament,League,Date,Team1,Team2,WinTeam,Team1Kills,Team2Kills,Team1Gold,Team2Gold,Team1Dragons,Team2Dragons,Team1Barons,Team2Barons,Team1RiftHeralds,Team2RiftHeralds,Team1Towers,Team2Towers,Team1Inhibitors,Team2Inhibitors,Year,Team_T1,Region_code_T1,Team_T2,Region_code_T2,Team_Win,Region_code_Win,Blue/Red
5025,LCK 2016 Spring,LCK,2016-01-16 11:36:00,SK Telecom T1,Jin Air Green Wings,Jin Air Green Wings,5.0,18.0,69700.0,80500.0,0.0,5.0,0.0,2.0,,,3.0,11.0,,,2016,T1,KR,JAG,KR,JAG,KR,Red
5081,LCK 2016 Spring,LCK,2016-01-20 08:01:00,Samsung Galaxy,Longzhu Gaming,Longzhu Gaming,1.0,10.0,53500.0,67000.0,0.0,4.0,0.0,1.0,,,1.0,11.0,,,2016,SSG,KR,LZ,KR,LZ,KR,Red
5084,LCK 2016 Spring,LCK,2016-01-20 08:56:00,Longzhu Gaming,Samsung Galaxy,Samsung Galaxy,4.0,11.0,91000.0,92000.0,2.0,5.0,1.0,2.0,,,9.0,8.0,,,2016,LZ,KR,SSG,KR,SSG,KR,Red
5086,LCK 2016 Spring,LCK,2016-01-20 10:06:00,Samsung Galaxy,Longzhu Gaming,Samsung Galaxy,14.0,3.0,69200.0,57500.0,3.0,1.0,1.0,0.0,,,11.0,2.0,,,2016,SSG,KR,LZ,KR,SSG,KR,Blue
5088,LCK 2016 Spring,LCK,2016-01-20 11:05:00,e-mFire,Jin Air Green Wings,Jin Air Green Wings,3.0,11.0,58900.0,75500.0,1.0,4.0,0.0,2.0,,,1.0,10.0,,,2016,EMF,KR,JAG,KR,JAG,KR,Red
5089,LCK 2016 Spring,LCK,2016-01-20 12:14:00,Jin Air Green Wings,e-mFire,Jin Air Green Wings,8.0,7.0,59700.0,49500.0,1.0,3.0,2.0,0.0,,,10.0,4.0,,,2016,JAG,KR,EMF,KR,JAG,KR,Blue
5090,LCK 2016 Spring,LCK,2016-01-21 08:01:00,KT Rolster,ROX Tigers,ROX Tigers,12.0,13.0,66900.0,78500.0,2.0,3.0,0.0,2.0,,,2.0,11.0,,,2016,KT,KR,ROX,KR,ROX,KR,Red
5091,LCK 2016 Spring,LCK,2016-01-21 08:57:00,ROX Tigers,KT Rolster,KT Rolster,24.0,32.0,79900.0,87700.0,2.0,4.0,2.0,1.0,,,4.0,10.0,,,2016,ROX,KR,KT,KR,KT,KR,Red
5094,LCK 2016 Spring,LCK,2016-01-21 10:03:00,KT Rolster,ROX Tigers,ROX Tigers,4.0,13.0,33000.0,42600.0,1.0,1.0,0.0,0.0,,,2.0,9.0,,,2016,KT,KR,ROX,KR,ROX,KR,Red
5095,LCK 2016 Spring,LCK,2016-01-21 10:46:00,SBENU Sonicboom,CJ Entus,SBENU Sonicboom,14.0,7.0,79800.0,72100.0,3.0,2.0,1.0,0.0,,,11.0,4.0,,,2016,,NA,CJ,KR,,NA,Blue
5099,LCK 2016 Spring,LCK,2016-01-21 12:06:00,CJ Entus,SBENU Sonicboom,CJ Entus,17.0,4.0,62500.0,51400.0,3.0,1.0,1.0,0.0,,,9.0,4.0,,,2016,CJ,KR,,NA,CJ,KR,Blue
5101,LCK 2016 Spring,LCK,2016-01-21 13:04:00,SBENU Sonicboom,CJ Entus,CJ Entus,9.0,17.0,68400.0,75200.0,3.0,1.0,0.0,2.0,,,8.0,11.0,,,2016,,NA,CJ,KR,CJ,KR,Red
5109,LCK 2016 Spring,LCK,2016-01-22 07:48:00,Samsung Galaxy,SK Telecom T1,SK Telecom T1,8.0,16.0,80700.0,85400.0,3.0,3.0,0.0,0.0,,,4.0,8.0,,,2016,SSG,KR,T1,KR,T1,KR,Red
5111,LCK 2016 Spring,LCK,2016-01-22 09:06:00,SK Telecom T1,Samsung Galaxy,SK Telecom T1,10.0,2.0,63100.0,48700.0,2.0,0.0,0.0,0.0,,,8.0,1.0,,,2016,T1,KR,SSG,KR,T1,KR,Blue
5113,LCK 2016 Spring,LCK,2016-01-22 09:58:00,Afreeca Freecs,Jin Air Green Wings,Jin Air Green Wings,0.0,10.0,49400.0,63300.0,0.0,4.0,0.0,1.0,,,1.0,9.0,,,2016,KDF,KR,JAG,KR,JAG,KR,Red
5118,LCK 2016 Spring,LCK,2016-01-22 11:07:00,Jin Air Green Wings,Afreeca Freecs,Afreeca Freecs,3.0,9.0,57700.0,74700.0,1.0,4.0,0.0,1.0,,,2.0,11.0,,,2016,JAG,KR,KDF,KR,KDF,KR,Red
5121,LCK 2016 Spring,LCK,2016-01-22 12:06:00,Afreeca Freecs,Jin Air Green Wings,Jin Air Green Wings,6.0,14.0,104700.0,107100.0,3.0,5.0,2.0,2.0,,,7.0,9.0,,,2016,KDF,KR,JAG,KR,JAG,KR,Red
5133,LCK 2016 Spring,LCK,2016-01-23 08:02:00,SBENU Sonicboom,e-mFire,SBENU Sonicboom,10.0,4.0,67800.0,51700.0,3.0,1.0,1.0,0.0,2.0,1.0,11.0,3.0,,,2016,,NA,EMF,KR,,NA,Blue
5135,LCK 2016 Spring,LCK,2016-01-23 08:53:00,e-mFire,SBENU Sonicboom,e-mFire,11.0,2.0,65800.0,52800.0,3.0,2.0,1.0,0.0,1.0,1.0,9.0,2.0,,,2016,EMF,KR,,NA,EMF,KR,Blue
5138,LCK 2016 Spring,LCK,2016-01-23 09:53:00,SBENU Sonicboom,e-mFire,e-mFire,22.0,20.0,95100.0,100900.0,4.0,4.0,2.0,1.0,0.0,1.0,3.0,9.0,,,2016,,NA,EMF,KR,EMF,KR,Red
5142,LCK 2016 Spring,LCK,2016-01-23 11:10:00,Longzhu Gaming,ROX Tigers,ROX Tigers,1.0,12.0,52700.0,70400.0,0.0,4.0,0.0,1.0,0.0,1.0,2.0,10.0,,,2016,LZ,KR,ROX,KR,ROX,KR,Red
