Tournament,League,Date,Team1,Team2,WinTeam,Team1Kills,Team2Kills,Team1Gold,Team2Gold,Team1Dragons,Team2Dragons,Team1Barons,Team2Barons,Team1RiftHeralds,Team2RiftHeralds,Team1Towers,Team2Towers,Team1Inhibitors,Team2Inhibitors,Year,Team_T1,Region_code_T1,Team_T2,Region_code_T2,Team_Win,Region_code_Win,Blue/Red
Worlds Season 1,WCS,2011-06-18 08:30:00,against All authority,Epik Gamer,Epik Gamer,,,,,,,,,,,,,,,2011,aAa,EMEA,EPIK,NA,EPIK,NA,Red
Worlds Season 1,WCS,2011-06-18 09:45:00,Fnatic,Team Pacific,Fnatic,,,,,,,,,,,,,,,2011,FNC,EMEA,PCFC,PCS,FNC,EMEA,Blue
Worlds Season 1,WCS,2011-06-18 11:00:00,Epik Gamer,Team Pacific,Epik Gamer,,,,,,,,,,,,,,,2011,EPIK,NA,PCFC,PCS,EPIK,NA,Blue
Worlds Season 1,WCS,2011-06-18 11:00:00,against All authority,Fnatic,against All authority,,,,,,,,,,,,,,,2011,aAa,EMEA,FNC,EMEA,aAa,EMEA,Blue
Worlds Season 1,WCS,2011-06-18 12:15:00,against All authority,Team Pacific,against All authority,,,,,,,,,,,,,,,2011,aAa,EMEA,PCFC,PCS,aAa,EMEA,Blue
Worlds Season 1,WCS,2011-06-18 12:15:00,Epik Gamer,Fnatic,Epik Gamer,,,,,,,,,,,,,,,2011,EPIK,NA,FNC,EMEA,EPIK,NA,Blue
Worlds Season 1,WCS,2011-06-18 14:30:00,TSM,Xan,Xan,,,,,,,,,,,,,,,2011,TSM,NA,XAN,PCS,XAN,PCS,Red
Worlds Season 1,WCS,2011-06-18 14:30:00,Team gamed!de,Counter Logic Gaming,Counter Logic Gaming,,,,,,,,,,,,,,,2011,GDE,EMEA,CLG,NA,CLG,NA,Red
Worlds Season 1,WCS,2011-06-18 16:00:00,Team gamed!de,Xan,Team gamed!de,,,,,,,,,,,,,,,2011,GDE,EMEA,XAN,PCS,GDE,EMEA,Blue
Worlds Season 1,WCS,2011-06-18 17:15:00,TSM,Counter Logic Gaming,TSM,,,,,,,,,,,,,,,2011,TSM,NA,CLG,NA,TSM,NA,Blue
Worlds Season 1,WCS,2011-06-18 18:30:00,TSM,Team gamed!de,TSM,,,,,,,,,,,,,,,2011,TSM,NA,GDE,EMEA,TSM,NA,Blue
Worlds Season 1,WCS,2011-06-18 18:30:00,Counter Logic Gaming,Xan,Counter Logic Gaming,,,,,,,,,,,,,,,2011,CLG,NA,XAN,PCS,CLG,NA,Blue
Worlds Season 1,WCS,2011-06-19 09:30:00,against All authority,Team gamed!de,against All authority,,,,,,,,,,,,,,,2011,aAa,EMEA,GDE,EMEA,aAa,EMEA,Blue
Worlds Season 1,WCS,2011-06-19 10:45:00,Counter Logic Gaming,Fnatic,Fnatic,,,,,,,,,,,,,,,2011,CLG,NA,FNC,EMEA,FNC,EMEA,Red
Worlds Season 1,WCS,2011-06-19 11:45:00,Fnatic,Counter Logic Gaming,Fnatic,,,,,,,,,,,,,,,2011,FNC,EMEA,CLG,NA,FNC,EMEA,Blue
Worlds Season 1,WCS,2011-06-19 13:00:00,Team gamed!de,Counter Logic Gaming,Counter Logic Gaming,,,,,,,,,,,,,,,2011,GDE,EMEA,CLG,NA,CLG,NA,Red
Worlds Season 1,WCS,2011-06-19 14:00:00,TSM,against All authority,TSM,,,,,,,,,,,,,,,2011,TSM,NA,aAa,EMEA,TSM,NA,Blue
Worlds Season 1,WCS,2011-06-19 15:00:00,against All authority,TSM,against All authority,,,,,,,,,,,,,,,2011,aAa,EMEA,TSM,NA,aAa,EMEA,Blue
Worlds Season 1,WCS,2011-06-19 16:00:00,TSM,against All authority,against All authority,,,,,,,,,,,,,,,2011,TSM,NA,aAa,EMEA,aAa,EMEA,Red
Worlds Season 1,WCS,2011-06-19 17:00:00,Epik Gamer,Fnatic,Fnatic,,,,,,,,,,,,,,,2011,EPIK,NA,FNC,EMEA,FNC,EMEA,Red
Worlds Season 1,WCS,2011-06-19 18:00:00,Fnatic,Epik Gamer,Fnatic,,,,,,,,,,,,,,,2011,FNC,EMEA,EPIK,NA,FNC,EMEA,Blue
Worlds Season 1,WCS,2011-06-20 11:30:00,against All authority,Fnatic,Fnatic,,,,,,,,,,,,,,,2011,aAa,EMEA,FNC,EMEA,FNC,EMEA,Red
Worlds Season 1,WCS,2011-06-20 12:30:00,Fnatic,against All authority,Fnatic,,,,,,,,,,,,,,,2011,FNC,EMEA,aAa,EMEA,FNC,EMEA,Blue
Worlds Season 1,WCS,2011-06-20 14:00:00,TSM,Epik Gamer,TSM,,,,,,,,,,,,,,,2011,TSM,NA,EPIK,NA,TSM,NA,Blue
Worlds Season 1,WCS,2011-06-20 15:00:00,Epik Gamer,TSM,TSM,,,,,,,,,,,,,,,2011,EPIK,NA,TSM,NA,TSM,NA,Red
Worlds Season 1,WCS,2011-06-20 17:30:00,against All authority,TSM,against All authority,,,,,,,,,,,,,,,2011,aAa,EMEA,TSM,NA,aAa,EMEA,Blue
Worlds Season 1,WCS,2011-06-20 21:00:00,Fnatic,against All authority,against All authority,,,,,,,,,,,,,,,2011,FNC,EMEA,aAa,EMEA,aAa,EMEA,Red
Worlds Season 1,WCS,2011-06-20 22:00:00,against All authority,Fnatic,Fnatic,,,,,,,,,,,,,,,2011,aAa,EMEA,FNC,EMEA,FNC,EMEA,Red
Worlds Season 2,WCS,2012-10-04 16:00:00,Azubu Frost,Invictus Gaming,Azubu Frost,,,,,,,,,,,,,,,2012,AZF,KR,iG,CN,AZF,KR,Blue
Worlds Season 2,WCS,2012-10-04 17:00:00,Invictus Gaming,CLG Prime,Invictus Gaming,,,,,,,,,,,,,,,2012,iG,CN,NRG,NA,iG,CN,Blue
Worlds Season 2,WCS,2012-10-04 18:00:00,SK Gaming,Azubu Frost,Azubu Frost,,,,,,,,,,,,,,,2012,SK,EMEA,AZF,KR,AZF,KR,Red
Worlds Season 2,WCS,2012-10-04 19:00:00,SK Gaming,CLG Prime,CLG Prime,,,,,,,,,,,,,,,2012,SK,EMEA,NRG,NA,NRG,NA,Red
Worlds Season 2,WCS,2012-10-04 20:00:00,Azubu Frost,CLG Prime,Azubu Frost,,,,,,,,,,,,,,,2012,AZF,KR,NRG,NA,AZF,KR,Blue
Worlds Season 2,WCS,2012-10-04 21:00:00,Invictus Gaming,SK Gaming,Invictus Gaming,,,,,,,,,,,,,,,2012,iG,CN,SK,EMEA,iG,CN,Blue
Worlds Season 2,WCS,2012-10-04 22:00:00,Dignitas,Counter Logic Gaming Europe,Counter Logic Gaming Europe,,,,,,,,,,,,,,,2012,DIG,NA,CLG.EU,EMEA,CLG.EU,EMEA,Red
Worlds Season 2,WCS,2012-10-04 23:00:00,NaJin Sword,Saigon Jokers,NaJin Sword,,,,,,,,,,,,,,,2012,NJBS,KR,SAJ,PCS,NJBS,KR,Blue
Worlds Season 2,WCS,2012-10-05 00:00:00,Counter Logic Gaming Europe,NaJin Sword,NaJin Sword,,,,,,,,,,,,,,,2012,CLG.EU,EMEA,NJBS,KR,NJBS,KR,Red
Worlds Season 2,WCS,2012-10-05 01:00:00,Dignitas,Saigon Jokers,Saigon Jokers,,,,,,,,,,,,,,,2012,DIG,NA,SAJ,PCS,SAJ,PCS,Red
Worlds Season 2,WCS,2012-10-05 01:00:00,Saigon Jokers,Counter Logic Gaming Europe,Counter Logic Gaming Europe,,,,,,,,,,,,,,,2012,SAJ,PCS,CLG.EU,EMEA,CLG.EU,EMEA,Red
Worlds Season 2,WCS,2012-10-05 03:00:00,Dignitas,NaJin Sword,NaJin Sword,,,,,,,,,,,,,,,2012,DIG,NA,NJBS,KR,NJBS,KR,Red
Worlds Season 2,WCS,2012-10-05 19:00:00,Moscow Five,Invictus Gaming,Moscow Five,,,,,,,,,,,,,,,2012,M5,INT,iG,CN,M5,INT,Blue
Worlds Season 2,WCS,2012-10-05 20:00:00,Invictus Gaming,Moscow Five,Moscow Five,,,,,,,,,,,,,,,2012,iG,CN,M5,INT,M5,INT,Red
Worlds Season 2,WCS,2012-10-05 21:00:00,Taipei Assassins,NaJin Sword,Taipei Assassins,,,,,,,,,,,,,,,2012,TPA,INT,NJBS,KR,TPA,INT,Blue
Worlds Season 2,WCS,2012-10-05 22:00:00,NaJin Sword,Taipei Assassins,Taipei Assassins,,,,,,,,,,,,,,,2012,NJBS,KR,TPA,INT,TPA,INT,Red
Worlds Season 2,WCS,2012-10-05 23:00:00,TSM,Azubu Frost,Azubu Frost,,,,,,,,,,,,,,,2012,TSM,NA,AZF,KR,AZF,KR,Red
Worlds Season 2,WCS,2012-10-06 00:00:00,Azubu Frost,TSM,Azubu Frost,,,,,,,,,,,,,,,2012,AZF,KR,TSM,NA,AZF,KR,Blue
Worlds Season 2,WCS,2012-10-07 04:00:00,Counter Logic Gaming Europe,Team WE,Team WE,,,,,,,,,,,,,,,2012,CLG.EU,EMEA,WE,CN,WE,CN,Red
Worlds Season 2,WCS,2012-10-07 05:00:00,Team WE,Counter Logic Gaming Europe,Counter Logic Gaming Europe,,,,,,,,,,,,,,,2012,WE,CN,CLG.EU,EMEA,CLG.EU,EMEA,Red
Worlds Season 2,WCS,2012-10-11 01:00:00,Moscow Five,Taipei Assassins,Moscow Five,,,,,,,,,,,,,,,2012,M5,INT,TPA,INT,M5,INT,Blue
Worlds Season 2,WCS,2012-10-11 02:00:00,Taipei Assassins,Moscow Five,Taipei Assassins,,,,,,,,,,,,,,,2012,TPA,INT,M5,INT,TPA,INT,Blue
Worlds Season 2,WCS,2012-10-11 03:00:00,Moscow Five,Taipei Assassins,Taipei Assassins,,,,,,,,,,,,,,,2012,M5,INT,TPA,INT,TPA,INT,Red
Worlds Season 2,WCS,2012-10-11 03:00:00,Counter Logic Gaming Europe,Team WE,Counter Logic Gaming Europe,,,,,,,,,,,,,,,2012,CLG.EU,EMEA,WE,CN,CLG.EU,EMEA,Blue
Worlds Season 2,WCS,2012-10-11 04:00:00,Counter Logic Gaming Europe,Azubu Frost,Counter Logic Gaming Europe,,,,,,,,,,,,,,,2012,CLG.EU,EMEA,AZF,KR,CLG.EU,EMEA,Blue
Worlds Season 2,WCS,2012-10-11 05:00:00,Azubu Frost,Counter Logic Gaming Europe,Azubu Frost,,,,,,,,,,,,,,,2012,AZF,KR,CLG.EU,EMEA,AZF,KR,Blue
Worlds Season 2,WCS,2012-10-11 06:00:00,Counter Logic Gaming Europe,Azubu Frost,Azubu Frost,,,,,,,,,,,,,,,2012,CLG.EU,EMEA,AZF,KR,AZF,KR,Red
Worlds Season 2,WCS,2012-10-14 00:30:00,Taipei Assassins,Azubu Frost,Azubu Frost,,,,,,,,,,,,,,,2012,TPA,INT,AZF,KR,AZF,KR,Red
Worlds Season 2,WCS,2012-10-14 01:30:00,Azubu Frost,Taipei Assassins,Taipei Assassins,,,,,,,,,,,,,,,2012,AZF,KR,TPA,INT,TPA,INT,Red
Worlds Season 2,WCS,2012-10-14 02:30:00,Taipei Assassins,Azubu Frost,Taipei Assassins,,,,,,,,,,,,,,,2012,TPA,INT,AZF,KR,TPA,INT,Blue
Worlds Season 2,WCS,2012-10-14 03:30:00,Azubu Frost,Taipei Assassins,Taipei Assassins,,,,,,,,,,,,,,,2012,AZF,KR,TPA,INT,TPA,INT,Red
Worlds Season 3,WCS,2013-09-15 19:00:00,GamingGear.eu,TSM,TSM,,,,,,,,,,,,,,,2013,GG.EU,INT,TSM,NA,TSM,NA,Red
Worlds Season 3,WCS,2013-09-15 20:00:00,SK Telecom T1,Lemondogs,SK Telecom T1,,,,,,,,,,,,,,,2013,T1,KR,LD,EMEA,T1,KR,Blue
Worlds Season 3,WCS,2013-09-15 21:00:00,TSM,Oh My God,Oh My God,,,,,,,,,,,,,,,2013,TSM,NA,OMG,CN,OMG,CN,Red
Worlds Season 3,WCS,2013-09-15 22:00:00,Lemondogs,GamingGear.eu,Lemondogs,,,,,,,,,,,,,,,2013,LD,EMEA,GG.EU,INT,LD,EMEA,Blue
Worlds Season 3,WCS,2013-09-15 23:00:00,Oh My God,SK Telecom T1,Oh My God,,,,,,,,,,,,,,,2013,OMG,CN,T1,KR,OMG,CN,Blue
Worlds Season 3,WCS,2013-09-16 00:00:00,Team Vulcun,Fnatic,Team Vulcun,,,,,,,,,,,,,,,2013,VUL,NA,FNC,EMEA,VUL,NA,Blue
Worlds Season 3,WCS,2013-09-16 01:00:00,Gambit Gaming,Mineski,Gambit Gaming,,,,,,,,,,,,,,,2013,GMB,EMEA,Mineski,PCS,GMB,EMEA,Blue
Worlds Season 3,WCS,2013-09-16 02:00:00,Samsung Ozone,Team Vulcun,Samsung Ozone,,,,,,,,,,,,,,,2013,SSW,KR,VUL,NA,SSW,KR,Blue
Worlds Season 3,WCS,2013-09-16 03:00:00,Mineski,Fnatic,Fnatic,,,,,,,,,,,,,,,2013,Mineski,PCS,FNC,EMEA,FNC,EMEA,Red
Worlds Season 3,WCS,2013-09-16 04:00:00,Gambit Gaming,Samsung Ozone,Gambit Gaming,,,,,,,,,,,,,,,2013,GMB,EMEA,SSW,KR,GMB,EMEA,Blue
Worlds Season 3,WCS,2013-09-17 02:00:00,Mineski,Samsung Ozone,Samsung Ozone,,,,,,,,,,,,,,,2013,Mineski,PCS,SSW,KR,SSW,KR,Red
Worlds Season 3,WCS,2013-09-17 03:00:00,Team Vulcun,Gambit Gaming,Gambit Gaming,,,,,,,,,,,,,,,2013,VUL,NA,GMB,EMEA,GMB,EMEA,Red
Worlds Season 3,WCS,2013-09-17 04:00:00,Samsung Ozone,Fnatic,Fnatic,,,,,,,,,,,,,,,2013,SSW,KR,FNC,EMEA,FNC,EMEA,Red
Worlds Season 3,WCS,2013-09-17 05:00:00,Mineski,Team Vulcun,Team Vulcun,,,,,,,,,,,,,,,2013,Mineski,PCS,VUL,NA,VUL,NA,Red
Worlds Season 3,WCS,2013-09-17 06:00:00,Fnatic,Gambit Gaming,Fnatic,,,,,,,,,,,,,,,2013,FNC,EMEA,GMB,EMEA,FNC,EMEA,Blue
Worlds Season 3,WCS,2013-09-18 02:00:00,Lemondogs,Oh My God,Oh My God,,,,,,,,,,,,,,,2013,LD,EMEA,OMG,CN,OMG,CN,Red
Worlds Season 3,WCS,2013-09-18 03:00:00,SK Telecom T1,GamingGear.eu,SK Telecom T1,,,,,,,,,,,,,,,2013,T1,KR,GG.EU,INT,T1,KR,Blue
Worlds Season 3,WCS,2013-09-18 04:00:00,TSM,Lemondogs,TSM,,,,,,,,,,,,,,,2013,TSM,NA,LD,EMEA,TSM,NA,Blue
Worlds Season 3,WCS,2013-09-18 05:00:00,GamingGear.eu,Oh My God,Oh My God,,,,,,,,,,,,,,,2013,GG.EU,INT,OMG,CN,OMG,CN,Red
Worlds Season 3,WCS,2013-09-18 06:00:00,SK Telecom T1,TSM,SK Telecom T1,,,,,,,,,,,,,,,2013,T1,KR,TSM,NA,T1,KR,Blue
Worlds Season 3,WCS,2013-09-20 02:00:00,Samsung Ozone,Gambit Gaming,Samsung Ozone,,,,,,,,,,,,,,,2013,SSW,KR,GMB,EMEA,SSW,KR,Blue
Worlds Season 3,WCS,2013-09-20 03:00:00,Fnatic,Team Vulcun,Fnatic,,,,,,,,,,,,,,,2013,FNC,EMEA,VUL,NA,FNC,EMEA,Blue
Worlds Season 3,WCS,2013-09-20 04:00:00,Mineski,Gambit Gaming,Gambit Gaming,,,,,,,,,,,,,,,2013,Mineski,PCS,GMB,EMEA,GMB,EMEA,Red
Worlds Season 3,WCS,2013-09-20 05:00:00,Fnatic,Samsung Ozone,Fnatic,,,,,,,,,,,,,,,2013,FNC,EMEA,SSW,KR,FNC,EMEA,Blue
Worlds Season 3,WCS,2013-09-20 06:00:00,Team Vulcun,Mineski,Team Vulcun,,,,,,,,,,,,,,,2013,VUL,NA,Mineski,PCS,VUL,NA,Blue
Worlds Season 3,WCS,2013-09-21 02:00:00,Lemondogs,SK Telecom T1,SK Telecom T1,,,,,,,,,,,,,,,2013,LD,EMEA,T1,KR,T1,KR,Red
Worlds Season 3,WCS,2013-09-21 03:00:00,Oh My God,GamingGear.eu,Oh My God,,,,,,,,,,,,,,,2013,OMG,CN,GG.EU,INT,OMG,CN,Blue
Worlds Season 3,WCS,2013-09-21 04:00:00,TSM,SK Telecom T1,SK Telecom T1,,,,,,,,,,,,,,,2013,TSM,NA,T1,KR,T1,KR,Red
Worlds Season 3,WCS,2013-09-21 05:00:00,GamingGear.eu,Lemondogs,Lemondogs,,,,,,,,,,,,,,,2013,GG.EU,INT,LD,EMEA,LD,EMEA,Red
Worlds Season 3,WCS,2013-09-21 06:00:00,Oh My God,TSM,Oh My God,,,,,,,,,,,,,,,2013,OMG,CN,TSM,NA,OMG,CN,Blue
Worlds Season 3,WCS,2013-09-21 19:00:00,Gambit Gaming,Fnatic,Fnatic,,,,,,,,,,,,,,,2013,GMB,EMEA,FNC,EMEA,FNC,EMEA,Red
Worlds Season 3,WCS,2013-09-21 20:00:00,Team Vulcun,Samsung Ozone,Samsung Ozone,,,,,,,,,,,,,,,2013,VUL,NA,SSW,KR,SSW,KR,Red
Worlds Season 3,WCS,2013-09-21 21:00:00,Fnatic,Mineski,Fnatic,,,,,,,,,,,,,,,2013,FNC,EMEA,Mineski,PCS,FNC,EMEA,Blue
Worlds Season 3,WCS,2013-09-21 22:00:00,Gambit Gaming,Team Vulcun,Gambit Gaming,,,,,,,,,,,,,,,2013,GMB,EMEA,VUL,NA,GMB,EMEA,Blue
Worlds Season 3,WCS,2013-09-21 23:00:00,Samsung Ozone,Mineski,Samsung Ozone,,,,,,,,,,,,,,,2013,SSW,KR,Mineski,PCS,SSW,KR,Blue
Worlds Season 3,WCS,2013-09-22 00:00:00,Lemondogs,TSM,Lemondogs,,,,,,,,,,,,,,,2013,LD,EMEA,TSM,NA,LD,EMEA,Blue
Worlds Season 3,WCS,2013-09-22 01:00:00,GamingGear.eu,SK Telecom T1,SK Telecom T1,,,,,,,,,,,,,,,2013,GG.EU,INT,T1,KR,T1,KR,Red
Worlds Season 3,WCS,2013-09-22 02:00:00,Oh My God,Lemondogs,Oh My God,,,,,,,,,,,,,,,2013,OMG,CN,LD,EMEA,OMG,CN,Blue
Worlds Season 3,WCS,2013-09-22 03:00:00,TSM,GamingGear.eu,GamingGear.eu,,,,,,,,,,,,,,,2013,TSM,NA,GG.EU,INT,GG.EU,INT,Red
Worlds Season 3,WCS,2013-09-22 04:00:00,SK Telecom T1,Oh My God,SK Telecom T1,,,,,,,,,,,,,,,2013,T1,KR,OMG,CN,T1,KR,Blue
Worlds Season 3,WCS,2013-09-22 04:00:00,Samsung Ozone,Gambit Gaming,Gambit Gaming,,,,,,,,,,,,,,,2013,SSW,KR,GMB,EMEA,GMB,EMEA,Red
Worlds Season 3,WCS,2013-09-23 19:00:00,Fnatic,Cloud9,Fnatic,,,,,,,,,,,,,,,2013,FNC,EMEA,C9,NA,FNC,EMEA,Blue
Worlds Season 3,WCS,2013-09-23 20:00:00,Cloud9,Fnatic,Cloud9,,,,,,,,,,,,,,,2013,C9,NA,FNC,EMEA,C9,NA,Blue
Worlds Season 3,WCS,2013-09-23 21:00:00,Fnatic,Cloud9,Fnatic,,,,,,,,,,,,,,,2013,FNC,EMEA,C9,NA,FNC,EMEA,Blue
Worlds Season 3,WCS,2013-09-23 23:00:00,Gambit Gaming,NaJin Black Sword,Gambit Gaming,,,,,,,,,,,,,,,2013,GMB,EMEA,NJBS,KR,GMB,EMEA,Blue
Worlds Season 3,WCS,2013-09-24 00:00:00,NaJin Black Sword,Gambit Gaming,NaJin Black Sword,,,,,,,,,,,,,,,2013,NJBS,KR,GMB,EMEA,NJBS,KR,Blue
Worlds Season 3,WCS,2013-09-24 01:00:00,Gambit Gaming,NaJin Black Sword,NaJin Black Sword,,,,,,,,,,,,,,,2013,GMB,EMEA,NJBS,KR,NJBS,KR,Red
Worlds Season 3,WCS,2013-09-25 02:00:00,Gamania Bears,SK Telecom T1,SK Telecom T1,,,,,,,,,,,,,,,2013,GAB,INT,T1,KR,T1,KR,Red
Worlds Season 3,WCS,2013-09-25 03:00:00,SK Telecom T1,Gamania Bears,SK Telecom T1,,,,,,,,,,,,,,,2013,T1,KR,GAB,INT,T1,KR,Blue
Worlds Season 3,WCS,2013-09-25 05:00:00,Royal Club,Oh My God,Royal Club,,,,,,,,,,,,,,,2013,RYL,CN,OMG,CN,RYL,CN,Blue
Worlds Season 3,WCS,2013-09-25 06:00:00,Oh My God,Royal Club,Royal Club,,,,,,,,,,,,,,,2013,OMG,CN,RYL,CN,RYL,CN,Red
Worlds Season 3,WCS,2013-09-28 03:00:00,SK Telecom T1,NaJin Black Sword,NaJin Black Sword,,,,,,,,,,,,,,,2013,T1,KR,NJBS,KR,NJBS,KR,Red
Worlds Season 3,WCS,2013-09-28 04:00:00,NaJin Black Sword,SK Telecom T1,SK Telecom T1,,,,,,,,,,,,,,,2013,NJBS,KR,T1,KR,T1,KR,Red
Worlds Season 3,WCS,2013-09-28 05:00:00,SK Telecom T1,NaJin Black Sword,NaJin Black Sword,,,,,,,,,,,,,,,2013,T1,KR,NJBS,KR,NJBS,KR,Red
Worlds Season 3,WCS,2013-09-28 06:00:00,NaJin Black Sword,SK Telecom T1,SK Telecom T1,,,,,,,,,,,,,,,2013,NJBS,KR,T1,KR,T1,KR,Red
Worlds Season 3,WCS,2013-09-28 07:00:00,SK Telecom T1,NaJin Black Sword,SK Telecom T1,,,,,,,,,,,,,,,2013,T1,KR,NJBS,KR,T1,KR,Blue
Worlds Season 3,WCS,2013-09-28 19:00:00,Fnatic,Royal Club,Royal Club,,,,,,,,,,,,,,,2013,FNC,EMEA,RYL,CN,RYL,CN,Red
Worlds Season 3,WCS,2013-09-28 20:00:00,Royal Club,Fnatic,Royal Club,,,,,,,,,,,,,,,2013,RYL,CN,FNC,EMEA,RYL,CN,Blue
Worlds Season 3,WCS,2013-09-28 21:00:00,Fnatic,Royal Club,Fnatic,,,,,,,,,,,,,,,2013,FNC,EMEA,RYL,CN,FNC,EMEA,Blue
Worlds Season 3,WCS,2013-09-28 22:00:00,Royal Club,Fnatic,Royal Club,,,,,,,,,,,,,,,2013,RYL,CN,FNC,EMEA,RYL,CN,Blue
Worlds Season 3,WCS,2013-10-05 03:00:00,Royal Club,SK Telecom T1,SK Telecom T1,,,,,,,,,,,,,,,2013,RYL,CN,T1,KR,T1,KR,Red
Worlds Season 3,WCS,2013-10-05 04:00:00,SK Telecom T1,Royal Club,SK Telecom T1,,,,,,,,,,,,,,,2013,T1,KR,RYL,CN,T1,KR,Blue
Worlds Season 3,WCS,2013-10-05 05:00:00,SK Telecom T1,Royal Club,SK Telecom T1,,,,,,,,,,,,,,,2013,T1,KR,RYL,CN,T1,KR,Blue
Worlds 2014,WCS,2014-09-18 08:59:00,EDward Gaming,Samsung White,Samsung White,11.0,20.0,64400.0,81300.0,2.0,3.0,0.0,2.0,,,4.0,9.0,,,2014,EDG,CN,SSW,KR,SSW,KR,Red
Worlds 2014,WCS,2014-09-18 10:38:00,TSM,SK Gaming,TSM,15.0,1.0,46900.0,30900.0,2.0,0.0,1.0,0.0,,,6.0,1.0,,,2014,TSM,NA,SK,EMEA,TSM,NA,Blue
Worlds 2014,WCS,2014-09-18 11:21:00,Dark Passage,ahq eSports Club,ahq eSports Club,8.0,19.0,56100.0,75900.0,0.0,5.0,0.0,1.0,,,2.0,10.0,,,2014,DP,EMEA,ahq,PCS,ahq,PCS,Red
Worlds 2014,WCS,2014-09-18 12:33:00,Taipei Assassins,Star Horn Royal Club,Star Horn Royal Club,10.0,15.0,85700.0,97400.0,4.0,3.0,0.0,3.0,,,7.0,10.0,,,2014,TPA,INT,RYL,CN,RYL,CN,Red
Worlds 2014,WCS,2014-09-18 14:02:00,Samsung White,ahq eSports Club,Samsung White,34.0,12.0,52700.0,30000.0,1.0,0.0,0.0,0.0,,,10.0,0.0,,,2014,SSW,KR,ahq,PCS,SSW,KR,Blue
Worlds 2014,WCS,2014-09-18 14:50:00,Star Horn Royal Club,TSM,Star Horn Royal Club,25.0,5.0,58800.0,43200.0,2.0,1.0,1.0,0.0,,,8.0,3.0,,,2014,RYL,CN,TSM,NA,RYL,CN,Blue
Worlds 2014,WCS,2014-09-19 09:00:00,Taipei Assassins,SK Gaming,Taipei Assassins,17.0,15.0,70200.0,70200.0,1.0,4.0,1.0,2.0,,,9.0,5.0,,,2014,TPA,INT,SK,EMEA,TPA,INT,Blue
Worlds 2014,WCS,2014-09-19 10:11:00,EDward Gaming,Dark Passage,EDward Gaming,17.0,2.0,64000.0,44400.0,4.0,0.0,1.0,0.0,,,10.0,3.0,,,2014,EDG,CN,DP,EMEA,EDG,CN,Blue
Worlds 2014,WCS,2014-09-19 11:17:00,Star Horn Royal Club,SK Gaming,Star Horn Royal Club,26.0,12.0,63900.0,48900.0,2.0,2.0,1.0,0.0,,,8.0,4.0,,,2014,RYL,CN,SK,EMEA,RYL,CN,Blue
Worlds 2014,WCS,2014-09-19 12:19:00,Dark Passage,Samsung White,Samsung White,0.0,15.0,26300.0,44700.0,0.0,3.0,0.0,0.0,,,0.0,6.0,,,2014,DP,EMEA,SSW,KR,SSW,KR,Red
Worlds 2014,WCS,2014-09-19 13:15:00,TSM,Taipei Assassins,TSM,14.0,4.0,70800.0,52800.0,4.0,0.0,1.0,0.0,,,10.0,2.0,,,2014,TSM,NA,TPA,INT,TSM,NA,Blue
Worlds 2014,WCS,2014-09-19 14:19:00,EDward Gaming,ahq eSports Club,EDward Gaming,28.0,10.0,69700.0,47900.0,4.0,0.0,1.0,0.0,,,8.0,2.0,,,2014,EDG,CN,ahq,PCS,EDG,CN,Blue
Worlds 2014,WCS,2014-09-20 09:00:00,Samsung White,Dark Passage,Samsung White,20.0,2.0,39400.0,24000.0,1.0,1.0,0.0,0.0,,,5.0,0.0,,,2014,SSW,KR,DP,EMEA,SSW,KR,Blue
Worlds 2014,WCS,2014-09-20 09:51:00,SK Gaming,Star Horn Royal Club,Star Horn Royal Club,6.0,19.0,44400.0,65700.0,0.0,3.0,0.0,2.0,,,3.0,9.0,,,2014,SK,EMEA,RYL,CN,RYL,CN,Red
Worlds 2014,WCS,2014-09-20 10:52:00,ahq eSports Club,Samsung White,Samsung White,13.0,39.0,42900.0,67100.0,1.0,2.0,0.0,2.0,,,0.0,11.0,,,2014,ahq,PCS,SSW,KR,SSW,KR,Red
Worlds 2014,WCS,2014-09-20 11:49:00,Taipei Assassins,TSM,TSM,4.0,19.0,35900.0,54000.0,0.0,3.0,0.0,0.0,,,1.0,10.0,,,2014,TPA,INT,TSM,NA,TSM,NA,Red
Worlds 2014,WCS,2014-09-20 12:48:00,Dark Passage,EDward Gaming,EDward Gaming,6.0,26.0,34500.0,55600.0,1.0,2.0,0.0,1.0,,,0.0,11.0,,,2014,DP,EMEA,EDG,CN,EDG,CN,Red
Worlds 2014,WCS,2014-09-20 13:44:00,SK Gaming,Taipei Assassins,SK Gaming,16.0,19.0,85600.0,74300.0,4.0,0.0,2.0,0.0,,,10.0,4.0,,,2014,SK,EMEA,TPA,INT,SK,EMEA,Blue
Worlds 2014,WCS,2014-09-21 08:58:00,TSM,Star Horn Royal Club,TSM,21.0,15.0,78800.0,73200.0,4.0,1.0,0.0,2.0,,,9.0,5.0,,,2014,TSM,NA,RYL,CN,TSM,NA,Blue
Worlds 2014,WCS,2014-09-21 10:21:00,ahq eSports Club,Dark Passage,ahq eSports Club,27.0,2.0,63700.0,44300.0,2.0,1.0,1.0,0.0,,,8.0,1.0,,,2014,ahq,PCS,DP,EMEA,ahq,PCS,Blue
