,Tournament,League,League_short,Date,Team1,Team2,Team1Score,Team2Score,Winner,Date__precision
9580,LCL 2016 Spring,LoL Continental League,LCL,2016-01-30 15:00:00,Team Empire,Team Just,1,0,1,0
9581,LCL 2016 Spring,LoL Continental League,LCL,2016-01-30 16:00:00,RoX (2014 CIS Team),Team Differential,1,0,1,0
9582,LCL 2016 Spring,LoL Continental League,LCL,2016-01-30 17:00:00,Vega Squadron,Natus Vincere.CIS,0,1,2,0
9583,LCL 2016 Spring,LoL Continental League,LCL,2016-01-30 18:00:00,Vaevictis eSports,Hard Random,0,1,2,0
9584,LCL 2016 Spring,LoL Continental League,LCL,2016-01-31 15:00:00,Natus Vincere.CIS,Vaevictis eSports,1,0,1,0
9585,LCL 2016 Spring,LoL Continental League,LCL,2016-01-31 16:00:00,Team Empire,Hard Random,0,1,2,0
9586,LCL 2016 Spring,LoL Continental League,LCL,2016-01-31 17:00:00,Team Differential,Team Just,0,1,2,0
9587,LCL 2016 Spring,LoL Continental League,LCL,2016-01-31 18:00:00,Vega Squadron,RoX (2014 CIS Team),1,0,1,0
9588,LCL 2016 Spring,LoL Continental League,LCL,2016-02-06 15:00:00,RoX (2014 CIS Team),Hard Random,0,1,2,0
9589,LCL 2016 Spring,LoL Continental League,LCL,2016-02-06 16:00:00,Natus Vincere.CIS,Team Just,0,1,2,0
9590,LCL 2016 Spring,LoL Continental League,LCL,2016-02-06 17:00:00,Team Empire,Team Differential,1,0,1,0
9591,LCL 2016 Spring,LoL Continental League,LCL,2016-02-06 18:00:00,Vega Squadron,Vaevictis eSports,1,0,1,0
9592,LCL 2016 Spring,LoL Continental League,LCL,2016-02-07 15:00:00,Team Empire,Natus Vincere.CIS,1,0,1,0
9593,LCL 2016 Spring,LoL Continental League,LCL,2016-02-07 16:00:00,Team Differential,RoX (2014 CIS Team),0,1,2,0
9594,LCL 2016 Spring,LoL Continental League,LCL,2016-02-07 17:00:00,Vaevictis eSports,Team Just,1,0,1,0
9595,LCL 2016 Spring,LoL Continental League,LCL,2016-02-07 18:00:00,Hard Random,Vega Squadron,1,0,1,0
9596,LCL 2016 Spring,LoL Continental League,LCL,2016-02-13 15:00:00,Hard Random,Team Differential,1,0,1,0
9597,LCL 2016 Spring,LoL Continental League,LCL,2016-02-13 16:00:00,RoX (2014 CIS Team),Vega Squadron,0,1,2,0
9598,LCL 2016 Spring,LoL Continental League,LCL,2016-02-13 17:00:00,Vaevictis eSports,Natus Vincere.CIS,1,0,1,0
9599,LCL 2016 Spring,LoL Continental League,LCL,2016-02-13 18:00:00,Team Just,Team Empire,0,1,2,0
9600,LCL 2016 Spring,LoL Continental League,LCL,2016-02-14 15:00:00,Natus Vincere.CIS,Vega Squadron,1,0,1,0
9601,LCL 2016 Spring,LoL Continental League,LCL,2016-02-14 17:00:00,Vaevictis eSports,Team Differential,0,1,2,0
9602,LCL 2016 Spring,LoL Continental League,LCL,2016-02-14 18:00:00,Hard Random,Team Just,0,1,2,0
9603,LCL 2016 Spring,LoL Continental League,LCL,2016-02-20 15:00:00,Hard Random,RoX (2014 CIS Team),1,0,1,0
9604,LCL 2016 Spring,LoL Continental League,LCL,2016-02-20 16:00:00,Team Differential,Natus Vincere.CIS,0,1,2,0
9605,LCL 2016 Spring,LoL Continental League,LCL,2016-02-20 17:00:00,Vaevictis eSports,Team Empire,1,0,1,0
9606,LCL 2016 Spring,LoL Continental League,LCL,2016-02-20 18:00:00,Vega Squadron,Team Just,0,1,2,0
9607,LCL 2016 Spring,LoL Continental League,LCL,2016-02-21 15:00:00,Team Differential,Team Empire,0,1,2,0
9608,LCL 2016 Spring,LoL Continental League,LCL,2016-02-21 16:00:00,Vaevictis eSports,Vega Squadron,0,1,2,0
9609,LCL 2016 Spring,LoL Continental League,LCL,2016-02-21 17:00:00,RoX (2014 CIS Team),Team Just,1,0,1,0
9610,LCL 2016 Spring,LoL Continental League,LCL,2016-02-21 18:00:00,Natus Vincere.CIS,Hard Random,0,1,2,0
9611,LCL 2016 Spring,LoL Continental League,LCL,2016-02-21 19:00:00,Team Empire,RoX (2014 CIS Team),1,0,1,0
9612,LCL 2016 Spring,LoL Continental League,LCL,2016-02-27 15:00:00,Team Empire,Vega Squadron,1,0,1,0
9613,LCL 2016 Spring,LoL Continental League,LCL,2016-02-27 16:00:00,Natus Vincere.CIS,RoX (2014 CIS Team),1,0,1,0
9614,LCL 2016 Spring,LoL Continental League,LCL,2016-02-27 17:00:00,Hard Random,Vaevictis eSports,1,0,1,0
9615,LCL 2016 Spring,LoL Continental League,LCL,2016-02-27 18:00:00,Team Just,Team Differential,1,0,1,0
9616,LCL 2016 Spring,LoL Continental League,LCL,2016-02-28 15:00:00,Hard Random,Team Empire,0,1,2,0
9617,LCL 2016 Spring,LoL Continental League,LCL,2016-02-28 16:00:00,RoX (2014 CIS Team),Vaevictis eSports,0,1,2,0
9618,LCL 2016 Spring,LoL Continental League,LCL,2016-02-28 17:00:00,Vega Squadron,Team Differential,1,0,1,0
9619,LCL 2016 Spring,LoL Continental League,LCL,2016-02-28 18:00:00,Natus Vincere.CIS,Team Just,1,0,1,0
9620,LCL 2016 Spring,LoL Continental League,LCL,2016-03-12 18:00:00,Vega Squadron,Vaevictis eSports,0,1,2,0
9621,LCL 2016 Spring,LoL Continental League,LCL,2016-03-12 19:00:00,Vaevictis eSports,Team Just,0,1,2,0
9622,LCL 2016 Spring,LoL Continental League,LCL,2016-03-12 20:00:00,Team Just,Vega Squadron,0,1,2,0
9623,LCL 2016 Spring,LoL Continental League,LCL,2016-03-12 21:00:00,Team Just,Vaevictis eSports,1,0,1,0
9624,LCL 2016 Spring,LoL Continental League,LCL,2016-03-12 22:00:00,Vega Squadron,Team Just,1,0,1,0
9625,LCL 2016 Spring Playoffs,LoL Continental League,LCL,2016-03-27 11:00:00,Hard Random,Vega Squadron,3,0,1,0
9626,LCL 2016 Spring Playoffs,LoL Continental League,LCL,2016-03-27 15:00:00,Team Empire,Natus Vincere.CIS,3,2,1,0
9627,LCL 2016 Spring Playoffs,LoL Continental League,LCL,2016-03-28 15:00:00,Vega Squadron,Natus Vincere.CIS,2,0,1,0
9628,LCL 2016 Spring Playoffs,LoL Continental League,LCL,2016-04-03 13:00:00,Hard Random,Team Empire,3,1,1,0
9629,LCL 2016 Summer,LoL Continental League,LCL,2016-05-28 15:00:00,Albus NoX Luna,Team Empire,1,0,1,0
9630,LCL 2016 Summer,LoL Continental League,LCL,2016-05-28 16:00:00,Vaevictis eSports,Natus Vincere.CIS,1,0,1,0
9631,LCL 2016 Summer,LoL Continental League,LCL,2016-05-28 17:00:00,Team Just,Gambit Esports,0,1,2,0
9632,LCL 2016 Summer,LoL Continental League,LCL,2016-05-28 18:00:00,Vega Squadron,RoX (2014 CIS Team),1,0,1,0
9633,LCL 2016 Summer,LoL Continental League,LCL,2016-05-29 15:00:00,Team Just,Vaevictis eSports,0,1,2,0
9634,LCL 2016 Summer,LoL Continental League,LCL,2016-05-29 16:00:00,Vega Squadron,Albus NoX Luna,0,1,2,0
9635,LCL 2016 Summer,LoL Continental League,LCL,2016-05-29 17:00:00,Natus Vincere.CIS,RoX (2014 CIS Team),0,1,2,0
9636,LCL 2016 Summer,LoL Continental League,LCL,2016-05-29 18:00:00,Gambit Esports,Team Empire,1,0,1,0
9637,LCL 2016 Summer,LoL Continental League,LCL,2016-06-04 15:00:00,RoX (2014 CIS Team),Team Empire,1,0,1,0
9638,LCL 2016 Summer,LoL Continental League,LCL,2016-06-04 16:00:00,Natus Vincere.CIS,Gambit Esports,1,0,1,0
9639,LCL 2016 Summer,LoL Continental League,LCL,2016-06-04 17:00:00,Vaevictis eSports,Vega Squadron,1,0,1,0
9640,LCL 2016 Summer,LoL Continental League,LCL,2016-06-04 18:00:00,Albus NoX Luna,Team Just,1,0,1,0
9641,LCL 2016 Summer,LoL Continental League,LCL,2016-06-05 15:00:00,RoX (2014 CIS Team),Team Just,1,0,1,0
9642,LCL 2016 Summer,LoL Continental League,LCL,2016-06-05 16:00:00,Natus Vincere.CIS,Vega Squadron,0,1,2,0
9643,LCL 2016 Summer,LoL Continental League,LCL,2016-06-05 17:00:00,Gambit Esports,Albus NoX Luna,0,1,2,0
9644,LCL 2016 Summer,LoL Continental League,LCL,2016-06-05 18:00:00,Vaevictis eSports,Team Empire,1,0,1,0
9645,LCL 2016 Summer,LoL Continental League,LCL,2016-06-11 15:00:00,Vega Squadron,Team Just,1,0,1,0
9646,LCL 2016 Summer,LoL Continental League,LCL,2016-06-11 16:00:00,Team Empire,Natus Vincere.CIS,0,1,2,0
9647,LCL 2016 Summer,LoL Continental League,LCL,2016-06-11 17:00:00,Albus NoX Luna,RoX (2014 CIS Team),1,0,1,0
9648,LCL 2016 Summer,LoL Continental League,LCL,2016-06-11 18:00:00,Gambit Esports,Vaevictis eSports,1,0,1,0
9649,LCL 2016 Summer,LoL Continental League,LCL,2016-06-12 15:00:00,Team Empire,Vega Squadron,0,1,2,0
9650,LCL 2016 Summer,LoL Continental League,LCL,2016-06-12 16:00:00,Team Just,Natus Vincere.CIS,0,1,2,0
9651,LCL 2016 Summer,LoL Continental League,LCL,2016-06-12 17:00:00,Vaevictis eSports,Albus NoX Luna,0,1,2,0
9652,LCL 2016 Summer,LoL Continental League,LCL,2016-06-12 18:00:00,Gambit Esports,RoX (2014 CIS Team),1,0,1,0
9653,LCL 2016 Summer,LoL Continental League,LCL,2016-06-18 15:00:00,Vega Squadron,Gambit Esports,1,0,1,0
9654,LCL 2016 Summer,LoL Continental League,LCL,2016-06-18 16:00:00,Natus Vincere.CIS,Albus NoX Luna,0,1,2,0
9655,LCL 2016 Summer,LoL Continental League,LCL,2016-06-18 17:00:00,RoX (2014 CIS Team),Vaevictis eSports,0,1,2,0
9656,LCL 2016 Summer,LoL Continental League,LCL,2016-06-18 18:00:00,Team Just,Team Empire,1,0,1,0
9657,LCL 2016 Summer,LoL Continental League,LCL,2016-06-19 15:00:00,Albus NoX Luna,Vega Squadron,1,0,1,0
9658,LCL 2016 Summer,LoL Continental League,LCL,2016-06-19 16:00:00,RoX (2014 CIS Team),Natus Vincere.CIS,1,0,1,0
9659,LCL 2016 Summer,LoL Continental League,LCL,2016-06-19 17:00:00,Gambit Esports,Team Just,1,0,1,0
9660,LCL 2016 Summer,LoL Continental League,LCL,2016-06-19 18:00:00,Team Empire,Vaevictis eSports,0,1,2,0
9661,LCL 2016 Summer,LoL Continental League,LCL,2016-06-25 15:00:00,Natus Vincere.CIS,Vaevictis eSports,1,0,1,0
9662,LCL 2016 Summer,LoL Continental League,LCL,2016-06-25 16:00:00,Team Just,Albus NoX Luna,0,1,2,0
9663,LCL 2016 Summer,LoL Continental League,LCL,2016-06-25 17:00:00,RoX (2014 CIS Team),Vega Squadron,0,1,2,0
9664,LCL 2016 Summer,LoL Continental League,LCL,2016-06-25 18:00:00,Team Empire,Gambit Esports,0,1,2,0
9665,LCL 2016 Summer,LoL Continental League,LCL,2016-06-26 15:00:00,Team Empire,RoX (2014 CIS Team),0,1,2,0
9666,LCL 2016 Summer,LoL Continental League,LCL,2016-06-26 16:00:00,Vaevictis eSports,Team Just,0,1,2,0
9667,LCL 2016 Summer,LoL Continental League,LCL,2016-06-26 17:00:00,Vega Squadron,Natus Vincere.CIS,0,1,2,0
9668,LCL 2016 Summer,LoL Continental League,LCL,2016-06-26 18:00:00,Albus NoX Luna,Gambit Esports,1,0,1,0
9669,LCL 2016 Summer,LoL Continental League,LCL,2016-07-02 15:00:00,Gambit Esports,Natus Vincere.CIS,0,1,2,0
9670,LCL 2016 Summer,LoL Continental League,LCL,2016-07-02 16:00:00,Team Empire,Albus NoX Luna,0,1,2,0
9671,LCL 2016 Summer,LoL Continental League,LCL,2016-07-02 17:00:00,Team Just,RoX (2014 CIS Team),0,1,2,0
9672,LCL 2016 Summer,LoL Continental League,LCL,2016-07-02 18:00:00,Vega Squadron,Vaevictis eSports,1,0,1,0
9673,LCL 2016 Summer,LoL Continental League,LCL,2016-07-03 15:00:00,Vaevictis eSports,RoX (2014 CIS Team),0,1,2,0
9674,LCL 2016 Summer,LoL Continental League,LCL,2016-07-03 16:00:00,Gambit Esports,Vega Squadron,0,1,2,0
9675,LCL 2016 Summer,LoL Continental League,LCL,2016-07-03 17:00:00,Team Empire,Team Just,1,0,1,0
9676,LCL 2016 Summer,LoL Continental League,LCL,2016-07-03 18:00:00,Albus NoX Luna,Natus Vincere.CIS,0,1,2,0
9677,LCL 2016 Summer,LoL Continental League,LCL,2016-07-09 15:00:00,Vaevictis eSports,Gambit Esports,1,0,1,0
9678,LCL 2016 Summer,LoL Continental League,LCL,2016-07-09 16:00:00,Natus Vincere.CIS,Team Empire,1,0,1,0
9679,LCL 2016 Summer,LoL Continental League,LCL,2016-07-09 17:00:00,RoX (2014 CIS Team),Albus NoX Luna,0,1,2,0
9680,LCL 2016 Summer,LoL Continental League,LCL,2016-07-09 18:00:00,Team Just,Vega Squadron,0,1,2,0
9681,LCL 2016 Summer,LoL Continental League,LCL,2016-07-10 15:00:00,Vega Squadron,Team Empire,1,0,1,0
9682,LCL 2016 Summer,LoL Continental League,LCL,2016-07-10 16:00:00,RoX (2014 CIS Team),Gambit Esports,1,0,1,0
9683,LCL 2016 Summer,LoL Continental League,LCL,2016-07-10 17:00:00,Natus Vincere.CIS,Team Just,0,1,2,0
9684,LCL 2016 Summer,LoL Continental League,LCL,2016-07-10 18:00:00,Albus NoX Luna,Vaevictis eSports,1,0,1,0
9685,LCL 2016 Summer Playoffs,LoL Continental League,LCL,2016-08-13 10:00:00,Vega Squadron,Natus Vincere.CIS,3,2,1,0
9686,LCL 2016 Summer Playoffs,LoL Continental League,LCL,2016-08-13 13:00:00,Albus NoX Luna,RoX (2014 CIS Team),3,0,1,0
9687,LCL 2016 Summer Playoffs,LoL Continental League,LCL,2016-08-14 13:00:00,Vega Squadron,Albus NoX Luna,2,3,2,0
9688,LCL 2016 Summer Promotion,LoL Continental League,LCL,2016-04-09 15:00:00,RoX (2014 CIS Team),Might Makes Right,3,2,1,0
9689,LCL 2016 Summer Promotion,LoL Continental League,LCL,2016-04-10 15:00:00,Team Differential,Gambit Esports,0,3,2,0
9690,LCL 2017 Spring,LoL Continental League,LCL,2017-01-28 14:00:00,Gambit Esports,Natus Vincere.CIS,0,1,2,0
9691,LCL 2017 Spring,LoL Continental League,LCL,2017-01-28 15:00:00,Vega Squadron,RoX (2014 CIS Team),1,0,1,0
9692,LCL 2017 Spring,LoL Continental League,LCL,2017-01-28 16:00:00,M19,Team Just Alpha,1,0,1,0
9693,LCL 2017 Spring,LoL Continental League,LCL,2017-01-28 17:00:00,Vaevictis eSports,Virtus.pro,0,1,2,0
9694,LCL 2017 Spring,LoL Continental League,LCL,2017-01-29 14:00:00,Virtus.pro,Vega Squadron,0,1,2,0
9695,LCL 2017 Spring,LoL Continental League,LCL,2017-01-29 15:00:00,Gambit Esports,M19,1,0,1,0
9696,LCL 2017 Spring,LoL Continental League,LCL,2017-01-29 16:00:00,Natus Vincere.CIS,Vaevictis eSports,0,1,2,0
9697,LCL 2017 Spring,LoL Continental League,LCL,2017-01-29 17:00:00,RoX (2014 CIS Team),Team Just Alpha,0,1,2,0
9698,LCL 2017 Spring,LoL Continental League,LCL,2017-02-04 14:00:00,Vaevictis eSports,M19,0,1,2,0
9699,LCL 2017 Spring,LoL Continental League,LCL,2017-02-04 15:00:00,Virtus.pro,RoX (2014 CIS Team),1,0,1,0
9700,LCL 2017 Spring,LoL Continental League,LCL,2017-02-04 16:00:00,Team Just Alpha,Natus Vincere.CIS,1,0,1,0
9701,LCL 2017 Spring,LoL Continental League,LCL,2017-02-04 17:00:00,Vega Squadron,Gambit Esports,1,0,1,0
9702,LCL 2017 Spring,LoL Continental League,LCL,2017-02-05 14:00:00,Gambit Esports,Vaevictis eSports,0,1,2,0
9703,LCL 2017 Spring,LoL Continental League,LCL,2017-02-05 15:00:00,RoX (2014 CIS Team),M19,1,0,1,0
9704,LCL 2017 Spring,LoL Continental League,LCL,2017-02-05 16:00:00,Vega Squadron,Natus Vincere.CIS,0,1,2,0
9705,LCL 2017 Spring,LoL Continental League,LCL,2017-02-05 17:00:00,Team Just Alpha,Virtus.pro,0,1,2,0
9706,LCL 2017 Spring,LoL Continental League,LCL,2017-02-11 14:00:00,Virtus.pro,Natus Vincere.CIS,1,0,1,0
9707,LCL 2017 Spring,LoL Continental League,LCL,2017-02-11 15:00:00,RoX (2014 CIS Team),Gambit Esports,0,1,2,0
9708,LCL 2017 Spring,LoL Continental League,LCL,2017-02-11 16:00:00,Vega Squadron,M19,1,0,1,0
9709,LCL 2017 Spring,LoL Continental League,LCL,2017-02-11 17:00:00,Vaevictis eSports,Team Just Alpha,1,0,1,0
9710,LCL 2017 Spring,LoL Continental League,LCL,2017-02-12 14:00:00,Team Just Alpha,Gambit Esports,1,0,1,0
9711,LCL 2017 Spring,LoL Continental League,LCL,2017-02-12 15:00:00,M19,Virtus.pro,1,0,1,0
9712,LCL 2017 Spring,LoL Continental League,LCL,2017-02-12 16:00:00,Natus Vincere.CIS,RoX (2014 CIS Team),1,0,1,0
9713,LCL 2017 Spring,LoL Continental League,LCL,2017-02-12 17:00:00,Vaevictis eSports,Vega Squadron,1,0,1,0
9714,LCL 2017 Spring,LoL Continental League,LCL,2017-02-18 14:00:00,RoX (2014 CIS Team),Vaevictis eSports,0,1,2,0
9715,LCL 2017 Spring,LoL Continental League,LCL,2017-02-18 15:00:00,Team Just Alpha,Vega Squadron,0,1,2,0
9716,LCL 2017 Spring,LoL Continental League,LCL,2017-02-18 16:00:00,Gambit Esports,Virtus.pro,0,1,2,0
9717,LCL 2017 Spring,LoL Continental League,LCL,2017-02-18 17:00:00,M19,Natus Vincere.CIS,1,0,1,0
9718,LCL 2017 Spring,LoL Continental League,LCL,2017-02-19 14:00:00,Natus Vincere.CIS,Virtus.pro,0,1,2,0
9719,LCL 2017 Spring,LoL Continental League,LCL,2017-02-19 15:00:00,Team Just Alpha,M19,1,0,1,0
9720,LCL 2017 Spring,LoL Continental League,LCL,2017-02-19 16:00:00,Vaevictis eSports,Gambit Esports,1,0,1,0
9721,LCL 2017 Spring,LoL Continental League,LCL,2017-02-19 17:00:00,RoX (2014 CIS Team),Vega Squadron,0,1,2,0
9722,LCL 2017 Spring,LoL Continental League,LCL,2017-03-04 14:00:00,Virtus.pro,Team Just Alpha,1,0,1,0
9723,LCL 2017 Spring,LoL Continental League,LCL,2017-03-04 15:00:00,Gambit Esports,Vega Squadron,1,0,1,0
9724,LCL 2017 Spring,LoL Continental League,LCL,2017-03-04 16:00:00,Vaevictis eSports,RoX (2014 CIS Team),1,0,1,0
9725,LCL 2017 Spring,LoL Continental League,LCL,2017-03-04 17:00:00,Natus Vincere.CIS,M19,0,1,2,0
9726,LCL 2017 Spring,LoL Continental League,LCL,2017-03-05 14:00:00,RoX (2014 CIS Team),Natus Vincere.CIS,1,0,1,0
9727,LCL 2017 Spring,LoL Continental League,LCL,2017-03-05 15:00:00,M19,Vega Squadron,1,0,1,0
9728,LCL 2017 Spring,LoL Continental League,LCL,2017-03-05 16:00:00,Virtus.pro,Vaevictis eSports,0,1,2,0
9729,LCL 2017 Spring,LoL Continental League,LCL,2017-03-05 17:00:00,Gambit Esports,Team Just Alpha,1,0,1,0
9730,LCL 2017 Spring,LoL Continental League,LCL,2017-03-11 14:00:00,Vega Squadron,Vaevictis eSports,1,0,1,0
9731,LCL 2017 Spring,LoL Continental League,LCL,2017-03-11 15:00:00,Virtus.pro,Gambit Esports,1,0,1,0
9732,LCL 2017 Spring,LoL Continental League,LCL,2017-03-11 16:00:00,M19,RoX (2014 CIS Team),1,0,1,0
9733,LCL 2017 Spring,LoL Continental League,LCL,2017-03-11 17:00:00,Natus Vincere.CIS,Team Just Alpha,0,1,2,0
9734,LCL 2017 Spring,LoL Continental League,LCL,2017-03-12 14:00:00,Gambit Esports,RoX (2014 CIS Team),1,0,1,0
9735,LCL 2017 Spring,LoL Continental League,LCL,2017-03-12 15:00:00,Virtus.pro,M19,0,1,2,0
9736,LCL 2017 Spring,LoL Continental League,LCL,2017-03-12 16:00:00,Team Just Alpha,Vaevictis eSports,1,0,1,0
9737,LCL 2017 Spring,LoL Continental League,LCL,2017-03-12 17:00:00,Natus Vincere.CIS,Vega Squadron,0,1,2,0
9738,LCL 2017 Spring,LoL Continental League,LCL,2017-03-18 14:00:00,RoX (2014 CIS Team),Virtus.pro,0,1,2,0
9739,LCL 2017 Spring,LoL Continental League,LCL,2017-03-18 15:00:00,M19,Gambit Esports,1,0,1,0
9740,LCL 2017 Spring,LoL Continental League,LCL,2017-03-18 16:00:00,Vega Squadron,Team Just Alpha,1,0,1,0
9741,LCL 2017 Spring,LoL Continental League,LCL,2017-03-18 17:00:00,Vaevictis eSports,Natus Vincere.CIS,1,0,1,0
9742,LCL 2017 Spring,LoL Continental League,LCL,2017-03-19 14:00:00,Team Just Alpha,RoX (2014 CIS Team),1,0,1,0
9743,LCL 2017 Spring,LoL Continental League,LCL,2017-03-19 15:00:00,Vega Squadron,Virtus.pro,1,0,1,0
9744,LCL 2017 Spring,LoL Continental League,LCL,2017-03-19 16:00:00,M19,Vaevictis eSports,1,0,1,0
9745,LCL 2017 Spring,LoL Continental League,LCL,2017-03-19 17:00:00,Natus Vincere.CIS,Gambit Esports,0,1,2,0
9746,LCL 2017 Spring,LoL Continental League,LCL,2017-03-20 14:00:00,M19,Vega Squadron,0,1,2,0
9747,LCL 2017 Spring Playoffs,LoL Continental League,LCL,2017-04-01 13:00:00,Vega Squadron,Vaevictis eSports,1,3,2,0
9748,LCL 2017 Spring Playoffs,LoL Continental League,LCL,2017-04-02 13:00:00,M19,Virtus.pro,2,3,2,0
9749,LCL 2017 Spring Playoffs,LoL Continental League,LCL,2017-04-09 13:00:00,Vaevictis eSports,Virtus.pro,2,3,2,0
9750,LCL 2017 Spring Promotion,LoL Continental League,LCL,2016-07-23 15:00:00,Team Empire,Team Just Alpha,2,3,2,0
9751,LCL 2017 Spring Promotion,LoL Continental League,LCL,2016-07-24 15:00:00,Team Just,Vaevictis Syndicate,0,3,2,0
9752,LCL 2017 Summer,LoL Continental League,LCL,2017-06-24 13:00:00,Vaevictis eSports,Virtus.pro,1,0,1,0
9753,LCL 2017 Summer,LoL Continental League,LCL,2017-06-24 14:00:00,Natus Vincere.CIS,Vega Squadron,0,1,2,0
9754,LCL 2017 Summer,LoL Continental League,LCL,2017-06-24 15:00:00,Team Just Alpha,RoX (2014 CIS Team),1,0,1,0
9755,LCL 2017 Summer,LoL Continental League,LCL,2017-06-24 16:00:00,M19,Vega Squadron,0,1,2,0
9756,LCL 2017 Summer,LoL Continental League,LCL,2017-06-24 17:00:00,Gambit Esports,Natus Vincere.CIS,1,0,1,0
9757,LCL 2017 Summer,LoL Continental League,LCL,2017-06-24 18:00:00,Team Just Alpha,M19,1,0,1,0
9758,LCL 2017 Summer,LoL Continental League,LCL,2017-06-25 13:00:00,Vega Squadron,Gambit Esports,0,1,2,0
9759,LCL 2017 Summer,LoL Continental League,LCL,2017-06-25 14:00:00,RoX (2014 CIS Team),M19,0,1,2,0
9760,LCL 2017 Summer,LoL Continental League,LCL,2017-06-25 15:00:00,Gambit Esports,Virtus.pro,1,0,1,0
9761,LCL 2017 Summer,LoL Continental League,LCL,2017-06-25 16:00:00,RoX (2014 CIS Team),Vaevictis eSports,0,1,2,0
9762,LCL 2017 Summer,LoL Continental League,LCL,2017-06-25 17:00:00,Natus Vincere.CIS,Virtus.pro,1,0,1,0
9763,LCL 2017 Summer,LoL Continental League,LCL,2017-06-25 18:00:00,Team Just Alpha,Vaevictis eSports,0,1,2,0
9764,LCL 2017 Summer,LoL Continental League,LCL,2017-07-01 13:00:00,Gambit Esports,RoX (2014 CIS Team),1,0,1,0
9765,LCL 2017 Summer,LoL Continental League,LCL,2017-07-01 14:00:00,Vega Squadron,Virtus.pro,0,1,2,0
9766,LCL 2017 Summer,LoL Continental League,LCL,2017-07-01 15:00:00,RoX (2014 CIS Team),Natus Vincere.CIS,1,0,1,0
9767,LCL 2017 Summer,LoL Continental League,LCL,2017-07-01 16:00:00,Vaevictis eSports,Vega Squadron,1,0,1,0
9768,LCL 2017 Summer,LoL Continental League,LCL,2017-07-01 17:00:00,Natus Vincere.CIS,Team Just Alpha,0,1,2,0
9769,LCL 2017 Summer,LoL Continental League,LCL,2017-07-01 18:00:00,Vaevictis eSports,M19,0,1,2,0
9770,LCL 2017 Summer,LoL Continental League,LCL,2017-07-02 13:00:00,Team Just Alpha,Vega Squadron,1,0,1,0
9771,LCL 2017 Summer,LoL Continental League,LCL,2017-07-02 14:00:00,RoX (2014 CIS Team),Virtus.pro,0,1,2,0
9772,LCL 2017 Summer,LoL Continental League,LCL,2017-07-02 15:00:00,Gambit Esports,Team Just Alpha,1,0,1,0
9773,LCL 2017 Summer,LoL Continental League,LCL,2017-07-02 16:00:00,Virtus.pro,M19,1,0,1,0
9774,LCL 2017 Summer,LoL Continental League,LCL,2017-07-02 17:00:00,Vaevictis eSports,Gambit Esports,0,1,2,0
9775,LCL 2017 Summer,LoL Continental League,LCL,2017-07-02 18:00:00,Natus Vincere.CIS,M19,1,0,1,0
9776,LCL 2017 Summer,LoL Continental League,LCL,2017-07-15 13:00:00,M19,Gambit Esports,0,1,2,0
9777,LCL 2017 Summer,LoL Continental League,LCL,2017-07-15 14:00:00,RoX (2014 CIS Team),Vega Squadron,1,0,1,0
9778,LCL 2017 Summer,LoL Continental League,LCL,2017-07-15 15:00:00,Virtus.pro,Gambit Esports,0,1,2,0
9779,LCL 2017 Summer,LoL Continental League,LCL,2017-07-15 16:00:00,Vega Squadron,Natus Vincere.CIS,1,0,1,0
9780,LCL 2017 Summer,LoL Continental League,LCL,2017-07-15 17:00:00,Team Just Alpha,Virtus.pro,0,1,2,0
9781,LCL 2017 Summer,LoL Continental League,LCL,2017-07-15 18:00:00,Natus Vincere.CIS,Vaevictis eSports,0,1,2,0
9782,LCL 2017 Summer,LoL Continental League,LCL,2017-07-16 13:00:00,M19,RoX (2014 CIS Team),0,1,2,0
9783,LCL 2017 Summer,LoL Continental League,LCL,2017-07-16 14:00:00,Gambit Esports,Vega Squadron,1,0,1,0
9784,LCL 2017 Summer,LoL Continental League,LCL,2017-07-16 15:00:00,Vaevictis eSports,RoX (2014 CIS Team),0,1,2,0
9785,LCL 2017 Summer,LoL Continental League,LCL,2017-07-16 16:00:00,M19,Team Just Alpha,1,0,1,0
9786,LCL 2017 Summer,LoL Continental League,LCL,2017-07-16 17:00:00,Virtus.pro,Natus Vincere.CIS,1,0,1,0
9787,LCL 2017 Summer,LoL Continental League,LCL,2017-07-16 18:00:00,Vaevictis eSports,Team Just Alpha,0,1,2,0
9788,LCL 2017 Summer,LoL Continental League,LCL,2017-07-22 13:00:00,Vega Squadron,Vaevictis eSports,1,0,1,0
9789,LCL 2017 Summer,LoL Continental League,LCL,2017-07-22 14:00:00,Team Just Alpha,Gambit Esports,0,1,2,0
9790,LCL 2017 Summer,LoL Continental League,LCL,2017-07-22 15:00:00,M19,Vaevictis eSports,1,0,1,0
9791,LCL 2017 Summer,LoL Continental League,LCL,2017-07-22 16:00:00,Virtus.pro,Vega Squadron,1,0,1,0
9792,LCL 2017 Summer,LoL Continental League,LCL,2017-07-22 17:00:00,Natus Vincere.CIS,RoX (2014 CIS Team),1,0,1,0
9793,LCL 2017 Summer,LoL Continental League,LCL,2017-07-22 18:00:00,M19,Virtus.pro,0,1,2,0
9794,LCL 2017 Summer,LoL Continental League,LCL,2017-07-23 13:00:00,Vaevictis eSports,Natus Vincere.CIS,0,1,2,0
