,Tournament,League,Date,Team1,Team2,WinTeam,Team1Kills,Team2Kills,Team1Gold,Team2Gold,Team1Dragons,Team2Dragons,Team1Barons,Team2Barons,Team1RiftHeralds,Team2RiftHeralds,Team1Towers,Team2Towers,Team1Inhibitors,Team2Inhibitors,Year,Team_T1,Region_code_T1,Team_T2,Region_code_T2,Team_Win,Region_code_Win,Blue/Red,Win_RiftHeralds,Lose_RiftHeralds,Win_Towers,Lose_Towers,Win_Inhibitors,Lose_Inhibitors,Win_Kills,Lose_Kills,Win_Dragons,Lose_Dragons,Win_Barons,Lose_Barons
26623,Worlds 2021 Play-In,WCS,2021-10-09 14:17:00,PEACE (Oceanic Team),Cloud9,Cloud9,8,26,33813,54361,0,3,0,1,1,1,1,10,0,2,2021,PCE,PCS,C9,NA,C9,NA,Red,1,1,10,1,2,0,26,8,3,0,1,0
26624,Worlds 2021 Play-In,WCS,2021-10-09 15:02:00,Cloud9,PEACE (Oceanic Team),Cloud9,21,1,43165,27668,2,0,0,0,1,1,8,1,1,0,2021,C9,NA,PCE,PCS,C9,NA,Blue,1,1,8,1,1,0,21,1,2,0,0,0
26625,Worlds 2021 Main Event,WCS,2021-10-11 10:34:00,DWG KIA,FunPlus Phoenix,DWG KIA,18,2,59091,44074,3,0,1,0,2,0,11,2,2,0,2021,DK,KR,FPX,CN,DK,KR,Blue,2,0,11,2,2,0,18,2,3,0,1,0
26626,Worlds 2021 Main Event,WCS,2021-10-11 11:41:00,Royal Never Give Up,PSG Talon,Royal Never Give Up,16,9,69669,61564,4,1,0,1,2,0,11,3,3,0,2021,RNG,CN,PSG,PCS,RNG,CN,Blue,2,0,11,3,3,0,16,9,4,1,0,1
26627,Worlds 2021 Main Event,WCS,2021-10-11 12:48:00,Hanwha Life Esports,Fnatic,Hanwha Life Esports,25,5,65598,49999,3,1,2,0,1,1,9,2,1,0,2021,HLE,KR,FNC,EMEA,HLE,KR,Blue,1,1,9,2,1,0,25,5,3,1,2,0
26628,Worlds 2021 Main Event,WCS,2021-10-11 13:43:00,LNG Esports,Gen.G,Gen.G,1,8,36954,42853,0,4,0,0,0,2,3,8,0,1,2021,LNG,CN,GEN,KR,GEN,KR,Red,2,0,8,3,1,0,8,1,4,0,0,0
26629,Worlds 2021 Main Event,WCS,2021-10-11 14:40:00,T1,DetonatioN FocusMe,T1,22,2,46005,28787,1,0,0,0,2,0,11,0,3,0,2021,T1,KR,DFM,JP,T1,KR,Blue,2,0,11,0,3,0,22,2,1,0,0,0
26630,Worlds 2021 Main Event,WCS,2021-10-11 15:33:00,EDward Gaming,100 Thieves,EDward Gaming,19,6,60135,44605,3,0,1,0,2,0,9,1,1,0,2021,EDG,CN,100,NA,EDG,CN,Blue,2,0,9,1,1,0,19,6,3,0,1,0
26631,Worlds 2021 Main Event,WCS,2021-10-11 16:29:00,Team Liquid,MAD Lions,Team Liquid,16,9,51044,44582,2,1,1,0,2,0,8,2,1,0,2021,TL,NA,MAD,EMEA,TL,NA,Blue,2,0,8,2,1,0,16,9,2,1,1,0
26632,Worlds 2021 Main Event,WCS,2021-10-11 17:26:00,Rogue (European Team),Cloud9,Rogue (European Team),16,8,65002,51804,2,1,1,0,2,0,10,1,2,0,2021,RGE,EMEA,C9,NA,RGE,EMEA,Blue,2,0,10,1,2,0,16,8,2,1,1,0
