,Tournament,League,Date,Team1,Team2,WinTeam,Team1Kills,Team2Kills,Team1Gold,Team2Gold,Team1Dragons,Team2Dragons,Team1Barons,Team2Barons,Team1RiftHeralds,Team2RiftHeralds,Team1Towers,Team2Towers,Team1Inhibitors,Team2Inhibitors,Year,Team_T1,Region_code_T1,Team_T2,Region_code_T2,Team_Win,Region_code_Win,Blue/Red,Win_RiftHeralds,Lose_RiftHeralds,Win_Towers,Lose_Towers,Win_Inhibitors,Lose_Inhibitors,Win_Kills,Lose_Kills,Win_Dragons,Lose_Dragons,Win_Barons,Lose_Barons
26553,LJL 2021 Summer Playoffs,LJL,2021-09-04 09:57:00,AXIZ,DetonatioN FocusMe,DetonatioN FocusMe,6,22,37661,52726,1,2,0,1,1,1,0,8,0,1,2021,AXZ,JP,DFM,JP,DFM,JP,Red,1,1,8,0,1,0,22,6,2,1,1,0
26555,LJL 2021 Summer Playoffs,LJL,2021-09-04 10:50:00,AXIZ,DetonatioN FocusMe,DetonatioN FocusMe,19,18,64120,63892,2,3,1,1,2,0,5,7,0,1,2021,AXZ,JP,DFM,JP,DFM,JP,Red,0,2,7,5,1,0,18,19,3,2,1,1
26557,TCL 2021 Summer Playoffs,TCL,2021-09-04 12:14:00,NASR eSports Turkey,Galatasaray Esports,Galatasaray Esports,1,15,43449,56192,0,4,0,2,1,1,1,8,0,1,2021,NSR,EMEA,GS,EMEA,GS,EMEA,Red,1,1,8,1,1,0,15,1,4,0,2,0
26558,TCL 2021 Summer Playoffs,TCL,2021-09-04 13:03:00,Galatasaray Esports,NASR eSports Turkey,Galatasaray Esports,16,7,61256,46993,2,2,1,0,2,0,9,0,2,0,2021,GS,EMEA,NSR,EMEA,GS,EMEA,Blue,2,0,9,0,2,0,16,7,2,2,1,0
26559,LCL 2021 Summer Playoffs,LCL,2021-09-04 13:22:00,CrowCrowd,Unicorns of Love.CIS,CrowCrowd,17,6,61470,49256,3,2,1,0,2,0,9,0,1,0,2021,CC,INT,UOL,INT,CC,INT,Blue,2,0,9,0,1,0,17,6,3,2,1,0
26560,TCL 2021 Summer Playoffs,TCL,2021-09-04 14:08:00,NASR eSports Turkey,Galatasaray Esports,Galatasaray Esports,8,24,45443,57565,1,2,0,1,1,1,2,9,0,1,2021,NSR,EMEA,GS,EMEA,GS,EMEA,Red,1,1,9,2,1,0,24,8,2,1,1,0
26561,LCL 2021 Summer Playoffs,LCL,2021-09-04 14:42:00,Unicorns of Love.CIS,CrowCrowd,Unicorns of Love.CIS,20,16,66237,56161,1,3,2,0,2,0,10,3,1,0,2021,UOL,INT,CC,INT,UOL,INT,Blue,2,0,10,3,1,0,20,16,1,3,2,0
26563,LCL 2021 Summer Playoffs,LCL,2021-09-04 16:01:00,CrowCrowd,Unicorns of Love.CIS,Unicorns of Love.CIS,10,27,44244,59783,2,2,0,1,1,1,0,11,0,3,2021,CC,INT,UOL,INT,UOL,INT,Red,1,1,11,0,3,0,27,10,2,2,1,0
26564,LLA 2022 Opening Promotion,LLA,2021-09-04 16:40:00,Globant Emerald,Team Aze,Team Aze,2,14,36528,49139,0,3,0,0,0,2,1,7,0,1,2021,GET,LAT,AZE,LAT,AZE,LAT,Red,2,0,7,1,1,0,14,2,3,0,0,0
26565,LCL 2021 Summer Playoffs,LCL,2021-09-04 16:52:00,CrowCrowd,Unicorns of Love.CIS,CrowCrowd,21,14,68210,59770,4,1,1,0,1,1,10,4,1,0,2021,CC,INT,UOL,INT,CC,INT,Blue,1,1,10,4,1,0,21,14,4,1,1,0
26567,LLA 2022 Opening Promotion,LLA,2021-09-04 17:35:00,Globant Emerald,Team Aze,Team Aze,3,20,33036,46820,1,1,0,1,0,1,1,7,0,1,2021,GET,LAT,AZE,LAT,AZE,LAT,Red,1,0,7,1,1,0,20,3,1,1,1,0
26568,LCL 2021 Summer Playoffs,LCL,2021-09-04 17:51:00,Unicorns of Love.CIS,CrowCrowd,Unicorns of Love.CIS,15,9,55734,49316,4,1,1,0,2,0,7,3,2,0,2021,UOL,INT,CC,INT,UOL,INT,Blue,2,0,7,3,2,0,15,9,4,1,1,0
26570,LLA 2022 Opening Promotion,LLA,2021-09-04 18:16:00,Globant Emerald,Team Aze,Team Aze,8,24,35777,47963,1,2,0,1,2,0,3,7,0,1,2021,GET,LAT,AZE,LAT,AZE,LAT,Red,0,2,7,3,1,0,24,8,2,1,1,0
26572,LLA 2022 Opening Promotion,LLA,2021-09-04 20:05:00,XTEN Esports,Furious Gaming,XTEN Esports,28,15,68280,59647,3,1,2,0,1,1,10,4,2,0,2021,XTN,LAT,FG,LAT,XTN,LAT,Blue,1,1,10,4,2,0,28,15,3,1,2,0
26573,LLA 2022 Opening Promotion,LLA,2021-09-04 21:04:00,XTEN Esports,Furious Gaming,Furious Gaming,7,19,45031,54709,0,4,0,1,1,1,3,8,0,1,2021,XTN,LAT,FG,LAT,FG,LAT,Red,1,1,8,3,1,0,19,7,4,0,1,0
26574,LLA 2022 Opening Promotion,LLA,2021-09-04 21:57:00,XTEN Esports,Furious Gaming,XTEN Esports,16,7,54701,48406,3,1,1,0,2,0,8,4,1,0,2021,XTN,LAT,FG,LAT,XTN,LAT,Blue,2,0,8,4,1,0,16,7,3,1,1,0
26575,LLA 2022 Opening Promotion,LLA,2021-09-04 22:45:00,XTEN Esports,Furious Gaming,XTEN Esports,24,22,49552,43981,1,1,1,0,1,1,7,2,1,0,2021,XTN,LAT,FG,LAT,XTN,LAT,Blue,1,1,7,2,1,0,24,22,1,1,1,0
26576,LJL 2021 Summer Playoffs,LJL,2021-09-05 08:58:00,Rascal Jester,DetonatioN FocusMe,DetonatioN FocusMe,1,20,38241,54466,1,3,0,1,1,1,0,9,0,1,2021,RJ,JP,DFM,JP,DFM,JP,Red,1,1,9,0,1,0,20,1,3,1,1,0
26577,LJL 2021 Summer Playoffs,LJL,2021-09-05 09:53:00,Rascal Jester,DetonatioN FocusMe,DetonatioN FocusMe,3,12,59801,71055,2,4,0,2,0,2,2,8,0,1,2021,RJ,JP,DFM,JP,DFM,JP,Red,2,0,8,2,1,0,12,3,4,2,2,0
26579,LJL 2021 Summer Playoffs,LJL,2021-09-05 10:58:00,Rascal Jester,DetonatioN FocusMe,DetonatioN FocusMe,4,16,41715,55055,1,3,0,1,1,1,3,9,0,1,2021,RJ,JP,DFM,JP,DFM,JP,Red,1,1,9,3,1,0,16,4,3,1,1,0
26583,LLA 2022 Opening Promotion,LLA,2021-09-05 16:50:00,Globant Emerald,Furious Gaming,Globant Emerald,21,8,59794,47621,3,2,1,0,2,0,10,2,2,0,2021,GET,LAT,FG,LAT,GET,LAT,Blue,2,0,10,2,2,0,21,8,3,2,1,0
26584,LLA 2022 Opening Promotion,LLA,2021-09-05 17:41:00,Globant Emerald,Furious Gaming,Globant Emerald,16,4,52656,41657,2,1,1,0,1,1,11,3,2,0,2021,GET,LAT,FG,LAT,GET,LAT,Blue,1,1,11,3,2,0,16,4,2,1,1,0
26585,LLA 2022 Opening Promotion,LLA,2021-09-05 18:29:00,Globant Emerald,Furious Gaming,Furious Gaming,14,23,55710,60531,2,2,0,1,2,0,7,7,1,1,2021,GET,LAT,FG,LAT,FG,LAT,Red,0,2,7,7,1,1,23,14,2,2,1,0
26586,LLA 2022 Opening Promotion,LLA,2021-09-05 19:22:00,Globant Emerald,Furious Gaming,Globant Emerald,24,34,87873,89294,4,4,2,1,2,0,11,4,5,0,2021,GET,LAT,FG,LAT,GET,LAT,Blue,2,0,11,4,5,0,24,34,4,4,2,1
26587,Worlds 2021 Play-In,WCS,2021-10-05 11:09:00,Hanwha Life Esports,LNG Esports,LNG Esports,5,18,66406,78638,2,4,0,2,2,0,3,8,0,1,2021,HLE,KR,LNG,CN,LNG,CN,Red,0,2,8,3,1,0,18,5,4,2,2,0
26588,Worlds 2021 Play-In,WCS,2021-10-05 12:00:00,INFINITY,RED Canids,RED Canids,6,15,50535,59783,3,2,0,1,1,1,2,9,0,2,2021,INF,LAT,RED,BR,RED,BR,Red,1,1,9,2,2,0,15,6,2,3,1,0
26589,Worlds 2021 Play-In,WCS,2021-10-05 13:06:00,LNG Esports,PEACE (Oceanic Team),LNG Esports,15,5,49695,36256,2,1,0,0,1,1,9,0,1,0,2021,LNG,CN,PCE,PCS,LNG,CN,Blue,1,1,9,0,1,0,15,5,2,1,0,0
26590,Worlds 2021 Play-In,WCS,2021-10-05 13:59:00,Hanwha Life Esports,INFINITY,Hanwha Life Esports,12,8,59760,50003,3,1,1,0,1,1,11,2,3,0,2021,HLE,KR,INF,LAT,HLE,KR,Blue,1,1,11,2,3,0,12,8,3,1,1,0
26591,Worlds 2021 Play-In,WCS,2021-10-05 14:57:00,Unicorns of Love.CIS,DetonatioN FocusMe,DetonatioN FocusMe,7,19,56910,66032,1,4,0,2,2,0,5,8,0,1,2021,UOL,INT,DFM,JP,DFM,JP,Red,0,2,8,5,1,0,19,7,4,1,2,0
26592,Worlds 2021 Play-In,WCS,2021-10-05 16:11:00,Galatasaray Esports,Beyond Gaming,Galatasaray Esports,17,9,63855,53542,2,3,1,0,2,0,7,2,1,0,2021,GS,EMEA,BYG,PCS,GS,EMEA,Blue,2,0,7,2,1,0,17,9,2,3,1,0
