Regions,Ratio
EMEA,0.4306084453496226
BR,0.218342151675485
CN,0.5744470055149126
INT,0.3453082695172313
JP,0.35304659498207885
KR,0.6664437337574558
LAT,0.34325396825396826
NA,0.42836768062869585
PCS,0.32472726407960245
VN,0.23124905417675545
