,Tournament,League,League_short,Date,Team1,Team2,Team1Score,Team2Score,Winner
14032,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-12-11 12:00:00,Saigon Buffalo,Team Flash.Vietnam,2,0,1
14033,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-12-12 07:00:00,Luxury Esports,Burst The Sky Esports,0,2,2
14034,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-12-12 10:00:00,CERBERUS Esports (Vietnamese Team),GAM Esports,2,0,1
14035,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-12-12 13:00:00,SBTC Esports,Burst The Sky Esports,1,2,2
14036,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-12-14 09:00:00,Burst The Sky Esports,Team Flash.Vietnam,2,1,1
14037,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-12-14 12:00:00,Saigon Buffalo,CERBERUS Esports (Vietnamese Team),0,2,2
14038,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-12-15 09:00:00,Luxury Esports,SBTC Esports,2,0,1
14039,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-12-15 12:00:00,Team Secret (Vietnamese Team),GAM Esports,0,2,2
14040,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-12-16 09:00:00,Team Flash.Vietnam,SBTC Esports,2,0,1
14041,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-12-16 12:00:00,Luxury Esports,Team Secret (Vietnamese Team),1,2,2
14042,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-12-17 09:00:00,Burst The Sky Esports,CERBERUS Esports (Vietnamese Team),2,0,1
14043,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-12-17 12:00:00,Saigon Buffalo,GAM Esports,0,2,2
14044,VCS 2021 Winter Playoffs,Vietnam Championship Series,VCS,2021-12-22 10:00:00,CERBERUS Esports (Vietnamese Team),Luxury Esports,3,1,1
14045,VCS 2021 Winter Playoffs,Vietnam Championship Series,VCS,2021-12-23 10:00:00,GAM Esports,Burst The Sky Esports,3,0,1
14046,VCS 2021 Winter Playoffs,Vietnam Championship Series,VCS,2021-12-25 10:00:00,Luxury Esports,Burst The Sky Esports,2,3,2
14047,VCS 2021 Winter Playoffs,Vietnam Championship Series,VCS,2021-12-26 10:00:00,CERBERUS Esports (Vietnamese Team),GAM Esports,3,2,1
7653,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-10 09:00:00,Oh My God,ThunderTalk Gaming,2,0,1
7654,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-10 11:00:00,FunPlus Phoenix,Royal Never Give Up,2,1,1
7655,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-11 09:00:00,JD Gaming,EDward Gaming,0,2,2
7656,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-11 11:00:00,LGD Gaming,Anyone's Legend,1,2,2
5081,LCK 2022 Spring,LoL Champions Korea,LCK,2022-01-12 08:00:00,DRX,Liiv SANDBOX,0,2,2
7657,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-12 09:00:00,Rare Atom,Top Esports,2,0,1
5082,LCK 2022 Spring,LoL Champions Korea,LCK,2022-01-12 11:00:00,T1,Kwangdong Freecs,2,0,1
7658,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-12 11:00:00,Ultra Prime,LNG Esports,0,2,2
5083,LCK 2022 Spring,LoL Champions Korea,LCK,2022-01-13 08:00:00,Hanwha Life Esports,Nongshim RedForce,2,1,1
7659,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-13 09:00:00,Invictus Gaming,ThunderTalk Gaming,2,0,1
5084,LCK 2022 Spring,LoL Champions Korea,LCK,2022-01-13 11:00:00,KT Rolster,DWG KIA,0,2,2
7660,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-13 11:00:00,Weibo Gaming,Team WE,2,0,1
7661,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-14 07:00:00,LGD Gaming,FunPlus Phoenix,0,2,2
5085,LCK 2022 Spring,LoL Champions Korea,LCK,2022-01-14 08:00:00,Gen.G,DRX,2,0,1
7662,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-14 09:00:00,Anyone's Legend,Oh My God,0,2,2
7663,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-14 11:00:00,JD Gaming,Royal Never Give Up,1,2,2
5086,LCK 2022 Spring,LoL Champions Korea,LCK,2022-01-14 11:00:00,Fredit BRION,T1,1,2,2
3571,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-01-14 17:00:00,Team Vitality,MAD Lions,0,1,2
3572,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-01-14 18:00:00,SK Gaming,Rogue (European Team),0,1,2
3573,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-01-14 19:00:00,G2 Esports,Excel Esports,1,0,1
3574,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-01-14 20:00:00,Misfits Gaming,Astralis,1,0,1
3575,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-01-14 21:00:00,Team BDS,Fnatic,0,1,2
2575,LCS 2022 Lock In,League of Legends Championship Series,LCS,2022-01-14 22:30:00,TSM,100 Thieves,0,1,2
2576,LCS 2022 Lock In,League of Legends Championship Series,LCS,2022-01-14 23:30:00,Golden Guardians,Cloud9,0,1,2
2577,LCS 2022 Lock In,League of Legends Championship Series,LCS,2022-01-15 00:30:00,TSM,FlyQuest,1,0,1
2578,LCS 2022 Lock In,League of Legends Championship Series,LCS,2022-01-15 01:30:00,Golden Guardians,100 Thieves,0,1,2
2579,LCS 2022 Lock In,League of Legends Championship Series,LCS,2022-01-15 02:30:00,FlyQuest,Cloud9,0,1,2
7664,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-15 07:00:00,ThunderTalk Gaming,EDward Gaming,0,2,2
5087,LCK 2022 Spring,LoL Champions Korea,LCK,2022-01-15 08:00:00,Nongshim RedForce,Liiv SANDBOX,2,0,1
7665,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-15 09:00:00,Ultra Prime,Top Esports,1,2,2
5088,LCK 2022 Spring,LoL Champions Korea,LCK,2022-01-15 11:00:00,Kwangdong Freecs,KT Rolster,0,2,2
7666,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-15 11:00:00,LNG Esports,Rare Atom,2,1,1
