,Tournament,League,League_short,Date,Team1,Team2,Team1Score,Team2Score,Winner
14057,VCS 2022 Spring,Vietnam Championship Series,VCS,2022-02-19 13:00:00,CERBERUS Esports (Vietnamese Team),Burst The Sky Esports,2,0,1
13236,PCS 2022 Spring,Pacific Championship Series,PCS,2022-02-19 13:00:00,PSG Talon,Frank Esports,1,0,1
15760,TCL 2022 Winter,Turkish Championship League,TCL,2022-02-19 13:00:00,NASR eSports Turkey,Fenerbahçe Esports,1,0,1
10318,LCL 2022 Spring,LoL Continental League,LCL,2022-02-19 13:00:00,Dragon Army,CTRL PLAY,1,0,1
10319,LCL 2022 Spring,LoL Continental League,LCL,2022-02-19 14:00:00,Vega Squadron,Black Star Gaming,0,1,2
15761,TCL 2022 Winter,Turkish Championship League,TCL,2022-02-19 14:00:00,Team AURORA,SuperMassive Blaze,0,1,2
15762,TCL 2022 Winter,Turkish Championship League,TCL,2022-02-19 15:00:00,Dark Passage,5 Ronin,1,0,1
10320,LCL 2022 Spring,LoL Continental League,LCL,2022-02-19 15:00:00,Team Spirit,CrowCrowd,1,0,1
10321,LCL 2022 Spring,LoL Continental League,LCL,2022-02-19 16:00:00,Unicorns of Love.CIS,One Breath Gaming,0,1,2
9216,CBLOL 2022 Split 1,Circuit Brazilian League of Legends,CBLOL,2022-02-19 16:00:00,FURIA,Netshoes Miners,0,1,2
3631,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-02-19 16:00:00,Excel Esports,Astralis,1,0,1
3632,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-02-19 17:00:00,Team BDS,SK Gaming,0,1,2
9217,CBLOL 2022 Split 1,Circuit Brazilian League of Legends,CBLOL,2022-02-19 17:00:00,paiN Gaming,RED Canids,0,1,2
3633,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-02-19 18:00:00,Misfits Gaming,MAD Lions,1,0,1
9218,CBLOL 2022 Split 1,Circuit Brazilian League of Legends,CBLOL,2022-02-19 18:00:00,Flamengo Esports,KaBuM! Esports,0,1,2
3634,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-02-19 19:00:00,Team Vitality,Rogue (European Team),0,1,2
9219,CBLOL 2022 Split 1,Circuit Brazilian League of Legends,CBLOL,2022-02-19 19:00:00,LOUD,Rensga Esports,1,0,1
11901,LLA 2022 Opening,Liga Latinoamerica,LLA,2022-02-19 20:00:00,INFINITY,All Knights,1,0,1
9220,CBLOL 2022 Split 1,Circuit Brazilian League of Legends,CBLOL,2022-02-19 20:00:00,INTZ,Liberty,0,1,2
3635,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-02-19 20:00:00,G2 Esports,Fnatic,0,1,2
11902,LLA 2022 Opening,Liga Latinoamerica,LLA,2022-02-19 21:00:00,INFINITY,Team Aze,1,0,1
2622,LCS 2022 Spring,League of Legends Championship Series,LCS,2022-02-19 21:30:00,Golden Guardians,100 Thieves,0,1,2
11903,LLA 2022 Opening,Liga Latinoamerica,LLA,2022-02-19 22:00:00,All Knights,Globant Emerald,1,0,1
2623,LCS 2022 Spring,League of Legends Championship Series,LCS,2022-02-19 22:30:00,Immortals,TSM,0,1,2
11904,LLA 2022 Opening,Liga Latinoamerica,LLA,2022-02-19 23:00:00,Isurus,Estral Esports,0,1,2
2624,LCS 2022 Spring,League of Legends Championship Series,LCS,2022-02-19 23:30:00,Team Liquid,Evil Geniuses.NA,1,0,1
11905,LLA 2022 Opening,Liga Latinoamerica,LLA,2022-02-20 00:00:00,Rainbow7,XTEN Esports,0,1,2
2625,LCS 2022 Spring,League of Legends Championship Series,LCS,2022-02-20 00:30:00,FlyQuest,Dignitas,1,0,1
2626,LCS 2022 Spring,League of Legends Championship Series,LCS,2022-02-20 01:30:00,Counter Logic Gaming,Cloud9,1,0,1
7720,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-02-20 07:00:00,Rare Atom,ThunderTalk Gaming,2,1,1
5129,LCK 2022 Spring,LoL Champions Korea,LCK,2022-02-20 08:00:00,DWG KIA,KT Rolster,2,1,1
13237,PCS 2022 Spring,Pacific Championship Series,PCS,2022-02-20 08:00:00,SEM9,Beyond Gaming,0,1,2
11092,LJL 2022 Spring,LoL Japan League,LJL,2022-02-20 09:00:00,Crest Gaming Act,Fukuoka SoftBank HAWKS gaming,1,0,1
13238,PCS 2022 Spring,Pacific Championship Series,PCS,2022-02-20 09:00:00,Impunity,SEM9,1,0,1
7721,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-02-20 09:00:00,EDward Gaming,Invictus Gaming,2,0,1
14058,VCS 2022 Spring,Vietnam Championship Series,VCS,2022-02-20 10:00:00,Luxury Esports,SBTC Esports,1,2,2
13239,PCS 2022 Spring,Pacific Championship Series,PCS,2022-02-20 10:00:00,Hurricane Gaming,Frank Esports,0,1,2
11093,LJL 2022 Spring,LoL Japan League,LJL,2022-02-20 10:00:00,V3 Esports,DetonatioN FocusMe,0,1,2
13240,PCS 2022 Spring,Pacific Championship Series,PCS,2022-02-20 11:00:00,Beyond Gaming,J Team,0,1,2
7722,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-02-20 11:00:00,LNG Esports,Royal Never Give Up,1,2,2
11094,LJL 2022 Spring,LoL Japan League,LJL,2022-02-20 11:00:00,Rascal Jester,Sengoku Gaming,0,1,2
5130,LCK 2022 Spring,LoL Champions Korea,LCK,2022-02-20 11:00:00,Nongshim RedForce,T1,1,2,2
15763,TCL 2022 Winter,Turkish Championship League,TCL,2022-02-20 11:00:00,Team AURORA,Fenerbahçe Esports,0,1,2
13241,PCS 2022 Spring,Pacific Championship Series,PCS,2022-02-20 12:00:00,Meta Falcon Team,PSG Talon,0,1,2
11095,LJL 2022 Spring,LoL Japan League,LJL,2022-02-20 12:00:00,AXIZ,Burning Core,0,1,2
15764,TCL 2022 Winter,Turkish Championship League,TCL,2022-02-20 12:00:00,Galakticos,5 Ronin,0,1,2
13242,PCS 2022 Spring,Pacific Championship Series,PCS,2022-02-20 13:00:00,Deep Cross Gaming,CTBC Flying Oyster,0,1,2
15765,TCL 2022 Winter,Turkish Championship League,TCL,2022-02-20 13:00:00,Istanbul Wildcats,Dark Passage,1,0,1
14059,VCS 2022 Spring,Vietnam Championship Series,VCS,2022-02-20 13:00:00,Team Secret (Vietnamese Team),Saigon Buffalo,0,2,2
10322,LCL 2022 Spring,LoL Continental League,LCL,2022-02-20 13:00:00,Team Spirit,Vega Squadron,1,0,1
15766,TCL 2022 Winter,Turkish Championship League,TCL,2022-02-20 14:00:00,SuperMassive Blaze,Beşiktaş Esports,0,1,2
10323,LCL 2022 Spring,LoL Continental League,LCL,2022-02-20 14:00:00,Unicorns of Love.CIS,CTRL PLAY,1,0,1
15767,TCL 2022 Winter,Turkish Championship League,TCL,2022-02-20 15:00:00,NASR eSports Turkey,Galatasaray Esports,0,1,2
10324,LCL 2022 Spring,LoL Continental League,LCL,2022-02-20 15:00:00,Dragon Army,CrowCrowd,0,1,2
9221,CBLOL 2022 Split 1,Circuit Brazilian League of Legends,CBLOL,2022-02-20 16:00:00,RED Canids,Rensga Esports,1,0,1
10325,LCL 2022 Spring,LoL Continental League,LCL,2022-02-20 16:00:00,One Breath Gaming,Black Star Gaming,1,0,1
9222,CBLOL 2022 Split 1,Circuit Brazilian League of Legends,CBLOL,2022-02-20 17:00:00,INTZ,KaBuM! Esports,1,0,1
9223,CBLOL 2022 Split 1,Circuit Brazilian League of Legends,CBLOL,2022-02-20 18:00:00,Liberty,paiN Gaming,1,0,1
9224,CBLOL 2022 Split 1,Circuit Brazilian League of Legends,CBLOL,2022-02-20 19:00:00,Flamengo Esports,Netshoes Miners,0,1,2
11906,LLA 2022 Opening,Liga Latinoamerica,LLA,2022-02-20 20:00:00,XTEN Esports,Team Aze,1,0,1
9225,CBLOL 2022 Split 1,Circuit Brazilian League of Legends,CBLOL,2022-02-20 20:00:00,FURIA,LOUD,0,1,2
2627,LCS 2022 Spring,League of Legends Championship Series,LCS,2022-02-20 20:30:00,Immortals,Evil Geniuses.NA,1,0,1
11907,LLA 2022 Opening,Liga Latinoamerica,LLA,2022-02-20 21:00:00,Rainbow7,All Knights,1,0,1
2628,LCS 2022 Spring,League of Legends Championship Series,LCS,2022-02-20 21:30:00,FlyQuest,100 Thieves,1,0,1
11908,LLA 2022 Opening,Liga Latinoamerica,LLA,2022-02-20 22:00:00,Isurus,Globant Emerald,1,0,1
2629,LCS 2022 Spring,League of Legends Championship Series,LCS,2022-02-20 22:30:00,TSM,Cloud9,0,1,2
11909,LLA 2022 Opening,Liga Latinoamerica,LLA,2022-02-20 23:00:00,INFINITY,Estral Esports,0,1,2
2630,LCS 2022 Spring,League of Legends Championship Series,LCS,2022-02-20 23:30:00,Golden Guardians,Dignitas,1,0,1
2631,LCS 2022 Spring,League of Legends Championship Series,LCS,2022-02-21 00:30:00,Team Liquid,Counter Logic Gaming,1,0,1
7723,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-02-21 09:00:00,Victory Five,LGD Gaming,2,1,1
7724,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-02-21 11:00:00,Top Esports,FunPlus Phoenix,2,1,1
7725,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-02-22 09:00:00,Royal Never Give Up,Rare Atom,0,2,2
7726,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-02-22 11:00:00,JD Gaming,Invictus Gaming,1,2,2
5131,LCK 2022 Spring,LoL Champions Korea,LCK,2022-02-23 08:00:00,KT Rolster,Kwangdong Freecs,0,2,2
11096,LJL 2022 Spring,LoL Japan League,LJL,2022-02-23 09:00:00,Crest Gaming Act,V3 Esports,1,0,1
7727,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-02-23 09:00:00,Oh My God,Ultra Prime,1,2,2
11097,LJL 2022 Spring,LoL Japan League,LJL,2022-02-23 10:00:00,Rascal Jester,Burning Core,0,1,2
7728,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-02-23 11:00:00,Victory Five,EDward Gaming,2,0,1
11098,LJL 2022 Spring,LoL Japan League,LJL,2022-02-23 11:00:00,Sengoku Gaming,Fukuoka SoftBank HAWKS gaming,1,0,1
5132,LCK 2022 Spring,LoL Champions Korea,LCK,2022-02-23 11:00:00,T1,DWG KIA,2,0,1
11099,LJL 2022 Spring,LoL Japan League,LJL,2022-02-23 12:00:00,DetonatioN FocusMe,AXIZ,1,0,1
5133,LCK 2022 Spring,LoL Champions Korea,LCK,2022-02-24 08:00:00,Fredit BRION,DRX,1,2,2
7729,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-02-24 09:00:00,Team WE,Bilibili Gaming,1,2,2
7730,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-02-24 11:00:00,LNG Esports,Weibo Gaming,1,2,2
5134,LCK 2022 Spring,LoL Champions Korea,LCK,2022-02-24 11:00:00,Liiv SANDBOX,Hanwha Life Esports,2,0,1
7731,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-02-25 07:00:00,ThunderTalk Gaming,LGD Gaming,1,2,2
5135,LCK 2022 Spring,LoL Champions Korea,LCK,2022-02-25 08:00:00,Gen.G,Nongshim RedForce,2,0,1
13243,PCS 2022 Spring,Pacific Championship Series,PCS,2022-02-25 09:00:00,Frank Esports,Beyond Gaming,0,1,2
11100,LJL 2022 Spring,LoL Japan League,LJL,2022-02-25 09:00:00,AXIZ,Sengoku Gaming,0,1,2
7732,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-02-25 09:00:00,Anyone's Legend,JD Gaming,1,2,2
14060,VCS 2022 Spring,Vietnam Championship Series,VCS,2022-02-25 10:00:00,Saigon Buffalo,GAM Esports,1,2,2
11101,LJL 2022 Spring,LoL Japan League,LJL,2022-02-25 10:00:00,V3 Esports,Fukuoka SoftBank HAWKS gaming,0,1,2
13244,PCS 2022 Spring,Pacific Championship Series,PCS,2022-02-25 10:00:00,Impunity,Deep Cross Gaming,0,1,2
5136,LCK 2022 Spring,LoL Champions Korea,LCK,2022-02-25 11:00:00,Kwangdong Freecs,DWG KIA,0,2,2
7733,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-02-25 11:00:00,FunPlus Phoenix,Rare Atom,0,2,2
13245,PCS 2022 Spring,Pacific Championship Series,PCS,2022-02-25 11:00:00,CTBC Flying Oyster,Hurricane Gaming,1,0,1
11102,LJL 2022 Spring,LoL Japan League,LJL,2022-02-25 11:00:00,DetonatioN FocusMe,Burning Core,1,0,1
11103,LJL 2022 Spring,LoL Japan League,LJL,2022-02-25 12:00:00,Crest Gaming Act,Rascal Jester,1,0,1
14061,VCS 2022 Spring,Vietnam Championship Series,VCS,2022-02-25 13:00:00,Team Secret (Vietnamese Team),Burst The Sky Esports,2,0,1
3636,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-02-25 17:00:00,MAD Lions,Excel Esports,0,1,2
3637,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-02-25 18:00:00,Team BDS,Astralis,1,0,1
3638,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-02-25 19:00:00,Team Vitality,SK Gaming,1,0,1
3639,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-02-25 20:00:00,Rogue (European Team),Fnatic,0,1,2
3640,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-02-25 21:00:00,Misfits Gaming,G2 Esports,1,0,1
2632,LCS 2022 Spring,League of Legends Championship Series,LCS,2022-02-25 22:30:00,Dignitas,Cloud9,0,1,2
2633,LCS 2022 Spring,League of Legends Championship Series,LCS,2022-02-25 23:30:00,Team Liquid,Golden Guardians,0,1,2
2634,LCS 2022 Spring,League of Legends Championship Series,LCS,2022-02-26 00:30:00,TSM,100 Thieves,0,1,2
2635,LCS 2022 Spring,League of Legends Championship Series,LCS,2022-02-26 01:30:00,Immortals,Counter Logic Gaming,1,0,1
7734,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-02-26 07:00:00,Team WE,Ultra Prime,1,2,2
5137,LCK 2022 Spring,LoL Champions Korea,LCK,2022-02-26 08:00:00,KT Rolster,Fredit BRION,0,2,2
13246,PCS 2022 Spring,Pacific Championship Series,PCS,2022-02-26 09:00:00,SEM9,Meta Falcon Team,0,1,2
7735,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-02-26 09:00:00,Weibo Gaming,Oh My God,2,1,1
13247,PCS 2022 Spring,Pacific Championship Series,PCS,2022-02-26 10:00:00,Hurricane Gaming,Deep Cross Gaming,0,1,2
14062,VCS 2022 Spring,Vietnam Championship Series,VCS,2022-02-26 10:00:00,Luxury Esports,Team Flash.Vietnam,1,2,2
7736,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-02-26 11:00:00,Top Esports,EDward Gaming,2,1,1
15768,TCL 2022 Winter,Turkish Championship League,TCL,2022-02-26 11:00:00,Galakticos,Istanbul Wildcats,0,1,2
5138,LCK 2022 Spring,LoL Champions Korea,LCK,2022-02-26 11:00:00,Hanwha Life Esports,T1,0,2,2
13248,PCS 2022 Spring,Pacific Championship Series,PCS,2022-02-26 11:00:00,Beyond Gaming,Impunity,1,0,1
13249,PCS 2022 Spring,Pacific Championship Series,PCS,2022-02-26 12:00:00,SEM9,J Team,0,1,2
15769,TCL 2022 Winter,Turkish Championship League,TCL,2022-02-26 12:00:00,Galatasaray Esports,Dark Passage,0,1,2
13250,PCS 2022 Spring,Pacific Championship Series,PCS,2022-02-26 13:00:00,Meta Falcon Team,Frank Esports,0,1,2
14063,VCS 2022 Spring,Vietnam Championship Series,VCS,2022-02-26 13:00:00,SBTC Esports,CERBERUS Esports (Vietnamese Team),0,2,2
15770,TCL 2022 Winter,Turkish Championship League,TCL,2022-02-26 13:00:00,Beşiktaş Esports,Fenerbahçe Esports,1,0,1
15771,TCL 2022 Winter,Turkish Championship League,TCL,2022-02-26 14:00:00,Team AURORA,NASR eSports Turkey,1,0,1
15772,TCL 2022 Winter,Turkish Championship League,TCL,2022-02-26 15:00:00,SuperMassive Blaze,5 Ronin,1,0,1
3641,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-02-26 16:00:00,Team Vitality,Misfits Gaming,1,0,1
9226,CBLOL 2022 Split 1,Circuit Brazilian League of Legends,CBLOL,2022-02-26 16:00:00,FURIA,Flamengo Esports,1,0,1
3642,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-02-26 17:00:00,SK Gaming,Astralis,0,1,2
9227,CBLOL 2022 Split 1,Circuit Brazilian League of Legends,CBLOL,2022-02-26 17:00:00,LOUD,RED Canids,0,1,2
3643,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-02-26 18:00:00,Rogue (European Team),Excel Esports,1,0,1
9228,CBLOL 2022 Split 1,Circuit Brazilian League of Legends,CBLOL,2022-02-26 18:00:00,Rensga Esports,Liberty,1,0,1
3644,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-02-26 19:00:00,Team BDS,G2 Esports,0,1,2
9229,CBLOL 2022 Split 1,Circuit Brazilian League of Legends,CBLOL,2022-02-26 19:00:00,KaBuM! Esports,paiN Gaming,0,1,2
9230,CBLOL 2022 Split 1,Circuit Brazilian League of Legends,CBLOL,2022-02-26 20:00:00,Netshoes Miners,INTZ,1,0,1
11910,LLA 2022 Opening,Liga Latinoamerica,LLA,2022-02-26 20:00:00,All Knights,Team Aze,0,1,2
3645,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-02-26 20:00:00,MAD Lions,Fnatic,0,1,2
11911,LLA 2022 Opening,Liga Latinoamerica,LLA,2022-02-26 21:00:00,Rainbow7,Globant Emerald,1,0,1
2636,LCS 2022 Spring,League of Legends Championship Series,LCS,2022-02-26 21:30:00,Team Liquid,Dignitas,1,0,1
11912,LLA 2022 Opening,Liga Latinoamerica,LLA,2022-02-26 22:00:00,Isurus,INFINITY,0,1,2
2637,LCS 2022 Spring,League of Legends Championship Series,LCS,2022-02-26 22:30:00,TSM,Counter Logic Gaming,0,1,2
11913,LLA 2022 Opening,Liga Latinoamerica,LLA,2022-02-26 23:00:00,Estral Esports,XTEN Esports,1,0,1
2638,LCS 2022 Spring,League of Legends Championship Series,LCS,2022-02-26 23:30:00,Cloud9,100 Thieves,1,0,1
2639,LCS 2022 Spring,League of Legends Championship Series,LCS,2022-02-27 00:30:00,Evil Geniuses.NA,FlyQuest,1,0,1
2640,LCS 2022 Spring,League of Legends Championship Series,LCS,2022-02-27 01:30:00,Immortals,FlyQuest,1,0,1
2641,LCS 2022 Spring,League of Legends Championship Series,LCS,2022-02-27 02:30:00,Golden Guardians,Evil Geniuses.NA,0,1,2
7737,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-02-27 07:00:00,ThunderTalk Gaming,FunPlus Phoenix,2,1,1
5139,LCK 2022 Spring,LoL Champions Korea,LCK,2022-02-27 08:00:00,DRX,Gen.G,0,2,2
13251,PCS 2022 Spring,Pacific Championship Series,PCS,2022-02-27 09:00:00,J Team,Meta Falcon Team,1,0,1
11104,LJL 2022 Spring,LoL Japan League,LJL,2022-02-27 09:00:00,DetonatioN FocusMe,V3 Esports,1,0,1
7738,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-02-27 09:00:00,Bilibili Gaming,JD Gaming,2,1,1
13252,PCS 2022 Spring,Pacific Championship Series,PCS,2022-02-27 10:00:00,CTBC Flying Oyster,Beyond Gaming,0,1,2
14064,VCS 2022 Spring,Vietnam Championship Series,VCS,2022-02-27 10:00:00,Luxury Esports,GAM Esports,0,2,2
11105,LJL 2022 Spring,LoL Japan League,LJL,2022-02-27 10:00:00,Sengoku Gaming,Rascal Jester,0,1,2
5140,LCK 2022 Spring,LoL Champions Korea,LCK,2022-02-27 11:00:00,Liiv SANDBOX,Nongshim RedForce,1,2,2
15773,TCL 2022 Winter,Turkish Championship League,TCL,2022-02-27 11:00:00,Galatasaray Esports,Galakticos,1,0,1
13253,PCS 2022 Spring,Pacific Championship Series,PCS,2022-02-27 11:00:00,SEM9,Frank Esports,0,1,2
11106,LJL 2022 Spring,LoL Japan League,LJL,2022-02-27 11:00:00,Fukuoka SoftBank HAWKS gaming,Crest Gaming Act,0,1,2
7739,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-02-27 11:00:00,LNG Esports,Victory Five,0,2,2
11107,LJL 2022 Spring,LoL Japan League,LJL,2022-02-27 12:00:00,Burning Core,AXIZ,1,0,1
13254,PCS 2022 Spring,Pacific Championship Series,PCS,2022-02-27 12:00:00,Impunity,Hurricane Gaming,1,0,1
15774,TCL 2022 Winter,Turkish Championship League,TCL,2022-02-27 12:00:00,5 Ronin,Fenerbahçe Esports,1,0,1
14065,VCS 2022 Spring,Vietnam Championship Series,VCS,2022-02-27 13:00:00,SBTC Esports,Saigon Buffalo,1,2,2
15775,TCL 2022 Winter,Turkish Championship League,TCL,2022-02-27 13:00:00,SuperMassive Blaze,Istanbul Wildcats,0,1,2
15776,TCL 2022 Winter,Turkish Championship League,TCL,2022-02-27 14:00:00,NASR eSports Turkey,Dark Passage,1,0,1
15777,TCL 2022 Winter,Turkish Championship League,TCL,2022-02-27 15:00:00,Team AURORA,Beşiktaş Esports,1,0,1
9231,CBLOL 2022 Split 1,Circuit Brazilian League of Legends,CBLOL,2022-02-27 16:00:00,Flamengo Esports,LOUD,1,0,1
9232,CBLOL 2022 Split 1,Circuit Brazilian League of Legends,CBLOL,2022-02-27 17:00:00,INTZ,FURIA,0,1,2
9233,CBLOL 2022 Split 1,Circuit Brazilian League of Legends,CBLOL,2022-02-27 18:00:00,paiN Gaming,Netshoes Miners,1,0,1
9234,CBLOL 2022 Split 1,Circuit Brazilian League of Legends,CBLOL,2022-02-27 19:00:00,Liberty,RED Canids,0,1,2
11914,LLA 2022 Opening,Liga Latinoamerica,LLA,2022-02-27 20:00:00,Isurus,XTEN Esports,0,1,2
9235,CBLOL 2022 Split 1,Circuit Brazilian League of Legends,CBLOL,2022-02-27 20:00:00,Rensga Esports,KaBuM! Esports,0,1,2
2642,LCS 2022 Spring,League of Legends Championship Series,LCS,2022-02-27 20:30:00,TSM,Team Liquid,0,1,2
11915,LLA 2022 Opening,Liga Latinoamerica,LLA,2022-02-27 21:00:00,INFINITY,Globant Emerald,1,0,1
2643,LCS 2022 Spring,League of Legends Championship Series,LCS,2022-02-27 21:30:00,Evil Geniuses.NA,Counter Logic Gaming,0,1,2
11916,LLA 2022 Opening,Liga Latinoamerica,LLA,2022-02-27 22:00:00,All Knights,Estral Esports,1,0,1
2644,LCS 2022 Spring,League of Legends Championship Series,LCS,2022-02-27 22:30:00,FlyQuest,Cloud9,0,1,2
11917,LLA 2022 Opening,Liga Latinoamerica,LLA,2022-02-27 23:00:00,Rainbow7,Team Aze,1,0,1
2645,LCS 2022 Spring,League of Legends Championship Series,LCS,2022-02-27 23:30:00,Immortals,Golden Guardians,0,1,2
2646,LCS 2022 Spring,League of Legends Championship Series,LCS,2022-02-28 00:30:00,Dignitas,100 Thieves,1,0,1
7740,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-02-28 09:00:00,Team WE,Rare Atom,0,2,2
7741,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-02-28 11:00:00,LGD Gaming,Invictus Gaming,2,1,1
7742,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-03-01 09:00:00,Ultra Prime,JD Gaming,0,2,2
7743,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-03-01 11:00:00,Bilibili Gaming,Top Esports,1,2,2
5141,LCK 2022 Spring,LoL Champions Korea,LCK,2022-03-02 08:00:00,Fredit BRION,Hanwha Life Esports,2,1,1
11108,LJL 2022 Spring,LoL Japan League,LJL,2022-03-02 09:00:00,Sengoku Gaming,DetonatioN FocusMe,0,1,2
7744,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-03-02 09:00:00,LGD Gaming,EDward Gaming,0,2,2
11109,LJL 2022 Spring,LoL Japan League,LJL,2022-03-02 10:00:00,Rascal Jester,Fukuoka SoftBank HAWKS gaming,1,0,1
11110,LJL 2022 Spring,LoL Japan League,LJL,2022-03-02 11:00:00,AXIZ,V3 Esports,1,0,1
5142,LCK 2022 Spring,LoL Champions Korea,LCK,2022-03-02 11:00:00,DWG KIA,Liiv SANDBOX,2,0,1
7745,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-03-02 11:00:00,Weibo Gaming,Royal Never Give Up,0,2,2
11111,LJL 2022 Spring,LoL Japan League,LJL,2022-03-02 12:00:00,Crest Gaming Act,Burning Core,1,0,1
5143,LCK 2022 Spring,LoL Champions Korea,LCK,2022-03-03 08:00:00,Gen.G,T1,0,2,2
5144,LCK 2022 Spring,LoL Champions Korea,LCK,2022-03-03 11:00:00,Nongshim RedForce,Kwangdong Freecs,0,2,2
7746,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-03-04 07:00:00,Victory Five,JD Gaming,0,2,2
5145,LCK 2022 Spring,LoL Champions Korea,LCK,2022-03-04 08:00:00,KT Rolster,DRX,0,2,2
13255,PCS 2022 Spring,Pacific Championship Series,PCS,2022-03-04 08:00:00,PSG Talon,J Team,1,0,1
11112,LJL 2022 Spring,LoL Japan League,LJL,2022-03-04 09:00:00,Sengoku Gaming,AXIZ,1,0,1
7747,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-03-04 09:00:00,ThunderTalk Gaming,LNG Esports,1,2,2
13256,PCS 2022 Spring,Pacific Championship Series,PCS,2022-03-04 09:00:00,Meta Falcon Team,Deep Cross Gaming,0,1,2
13257,PCS 2022 Spring,Pacific Championship Series,PCS,2022-03-04 10:00:00,PSG Talon,SEM9,1,0,1
11113,LJL 2022 Spring,LoL Japan League,LJL,2022-03-04 10:00:00,Rascal Jester,Crest Gaming Act,1,0,1
14066,VCS 2022 Spring,Vietnam Championship Series,VCS,2022-03-04 10:00:00,Team Flash.Vietnam,Burst The Sky Esports,1,2,2
11114,LJL 2022 Spring,LoL Japan League,LJL,2022-03-04 11:00:00,Burning Core,DetonatioN FocusMe,0,1,2
13258,PCS 2022 Spring,Pacific Championship Series,PCS,2022-03-04 11:00:00,Hurricane Gaming,Beyond Gaming,0,1,2
5146,LCK 2022 Spring,LoL Champions Korea,LCK,2022-03-04 11:00:00,DWG KIA,Hanwha Life Esports,2,0,1
7748,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-03-04 11:00:00,FunPlus Phoenix,Bilibili Gaming,2,1,1
11115,LJL 2022 Spring,LoL Japan League,LJL,2022-03-04 12:00:00,Fukuoka SoftBank HAWKS gaming,V3 Esports,1,0,1
13259,PCS 2022 Spring,Pacific Championship Series,PCS,2022-03-04 12:00:00,J Team,Frank Esports,1,0,1
13260,PCS 2022 Spring,Pacific Championship Series,PCS,2022-03-04 13:00:00,Impunity,CTBC Flying Oyster,0,1,2
14067,VCS 2022 Spring,Vietnam Championship Series,VCS,2022-03-04 13:00:00,Team Secret (Vietnamese Team),CERBERUS Esports (Vietnamese Team),0,2,2
3646,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-03-04 17:00:00,SK Gaming,Rogue (European Team),1,0,1
3647,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-03-04 18:00:00,Misfits Gaming,Astralis,1,0,1
3648,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-03-04 19:00:00,Team Vitality,MAD Lions,0,1,2
3649,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-03-04 20:00:00,G2 Esports,Excel Esports,1,0,1
3650,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-03-04 21:00:00,Team BDS,Fnatic,0,1,2
7749,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-03-05 07:00:00,LGD Gaming,Weibo Gaming,1,2,2
