Team,Team_abbr,Region_code
ASP Esports,ASP,EMEA
Assassin Sniper,AS,INT
Aston eSports,Aston,INT
Astral Authority,AA,NA
Astralis,AST,EMEA
Astralis SB,ASB,EMEA
Astralis Talent,ASTL,EMEA
ASURA,ASR,KR
Asura eSports,ASR,EMEA
ASUS ROG Army,ASUS,EMEA
ASUS ROG ELITE,ASUS,EMEA
ASUS ROG Female,ASUS.F,EMEA
AT Gaming,AT,EMEA
Atheris Esports,ATH,LAT
Athletico Esports,ATH,PCS
Atlando Esports,ATL,EMEA
ATLAS eSports Team,ATL,EMEA
Atleta Esport,ATE,EMEA
Atleta Esport Academy,ATE.A,EMEA
Atletec,ATL,EMEA
Atomic México,MC2,LAT
ATR esports,ATR,EMEA
ATR esports Denmark,ATR,EMEA
Aurelius Esports,AU,LAT
Aurora,ARA,EMEA
Australs,AUS,LAT
Austrian Force willhaben,AFW,EMEA
Authority E-sports,AES,INT
Auxesis Esports,AUX,EMEA
Auxesis Green,AUX.G,EMEA
Auxesis Red,AUX.R,EMEA
AVANGAR,AVN,INT
Avant Academy,AVA,PCS
Avant Gaming,AV,PCS
Avant Garde Ascension,Av.A,PCS
Avant Garde Redemption,Av.R,PCS
AVEZ Esport,AVE,EMEA
Avia Deceptor,ADE,EMEA
AVIXD,AVI,NA
Aware Gaming,AG,NA
Away from Normal,AFN,EMEA
Awesome,AWE,KR
Awesome Spear,ASP,KR
Awesome Spear Academy,ASP.A,KR
Awsomniac,AwS,EMEA
Axis Empire,AXE,PCS
AXIZ,AXZ,JP
AXIZ Academy,AXZ.A,JP
Axolotl,AXL,EMEA
Axolotl Academy,AXL.A,EMEA
AYM Esports,AYM,EMEA
AZIO Black,AZIO.B,NA
AZIO eSports,AZIO,NA
AZIO White,AZIO.W,NA
Azubu Blaze,AZB,KR
Azubu Frost,AZF,KR
Azules Esports,UCH,LAT
Azules Esports Academy,UCH.A,LAT
Azure Cats,AC,NA
Baby Whales,BW,VN
Back2TheGame Outlaws,B2TG,EMEA
Ban Karma Gaming,BKG,BR
Bandits Gaming,BAN,LAT
Bangkok Titans,BKT,PCS
Barça eSports,BAR,EMEA
Barcelona BG,BBG,LAT
Barrage,BRG,EMEA
Barrage Academy,BRG.A,EMEA
Barrage Esports Retirement Home,BRG RH,EMEA
Barrage.NA,BRG,NA
Bastards Esports,BE,EMEA
Bastille Legacy,BTL,EMEA
Bastu Five,B5,EMEA
Bawk Bawk,BAWK,NA
Bay State College,BSC,NA
bbq Olivers,bbq,KR
BCN Squad,BCN,EMEA
Beast Esports,BST,LAT
Beast Mode,B.Mode,INT
beGenius ESC,BGN,EMEA
Belfast Storm,BSG,EMEA
Bencheados,BEN,LAT
Benched Gaming,BENC,EMEA
Benelux United,BLX,EMEA
Berjaya Dragons,BJD,PCS
Berlin International Gaming,BIG,EMEA
Berlin International Gaming Chroma,BIG.C,EMEA
Beşiktaş Academy,BJK.A,EMEA
Beşiktaş Esports,BJK,EMEA
Besiktas Esports Female,BJK.F,EMEA
Beşiktaş.Oyun Hizmetleri,BJK.OH,EMEA
Bethany Lutheran College,BLC,NA
Beyond Gaming,BYG,PCS
Beyond Gaming Academy,BYG.A,PCS
Beyond The Rift,BTR,EMEA
Bifrost,BFR,EMEA
Bifrost White,BFR.W,EMEA
Big Duck Energy,BDE,NA
Big Gods,BGG,BR
Big Gods Jackals,BGJ,NA
Big One Gaming,BJO,CN
Big Plays Incorporated,BPI,EMEA
Bigetron E-Sports,BGES,PCS
Bigfile Miracle,BFM,KR
Bilibili Gaming,BLG,CN
Bilibili Gaming Junior,BLGJ,CN
Bionic,BNC,EMEA
Bis Esports,BIS,EMEA
BISONS ECLUB,BSO,EMEA
BK ROG Esports,BKR,EMEA
Black Eagles,BK,INT
Black Lion,BL,EMEA
Black Panthers eSports,BP,EMEA
Black Star Gaming,BSG,INT
Blackbean,BB,PCS
BLACKLIST,BLK,NA
Blade Edge,BDG,EMEA
BloodRain-Gaming,BRG,EMEA
Bloody Gaming,BDY,NA
Bloody Wolves,BW,EMEA
BloodyDevils,BD,EMEA
Blue Esports,BLU,NA
BlueWhites,BW,EMEA
Boavista FC,BFC,EMEA
Boba Marines,BM,PCS
Boca Juniors Gaming,BOC,LAT
Bogged,BOG,NA
Boise State University,BSU,NA
Bombers,BMR,PCS
Bombers Academy,B52,PCS
BOOM Esports,BME,PCS
Born to Kill,B2K,INT
Boutgamers sexy edition,BGse,EMEA
BowQen Blackbucks,BQB,JP
BPZ,BPZ,KR
Brave e-Sports,BRV,BR
Braves Rising,BRR,LAT
BrawL eSports,BWL,INT
BrawL.NA,BWL,NA
Bren Esports,BRE,PCS
Bring It On,BIO,LAT
BRION,BRO,KR
BRION Academy,BRO.A,KR
BRION Challengers,BRO.C,KR
Brussels Guardians,BG,EMEA
Brussels Guardians Academy,BG.A,EMEA
BRUTE,BRT,EMEA
BRUTE Talents,BRT.T,EMEA
Bucks Vipers,VIP,EMEA
BUFF,BUFF,INT
Buff Katarina,KAT,NA
Bulldog Esports,BDG,EMEA
Bullets eSports,BLT,INT
Burger Flippers,BGF,EMEA
Burning Core,BC,JP
Burning Core Academy,BC.A,JP
Bursaspor Academy,BS.A,EMEA
Bursaspor Esports,BUR,EMEA
Burst The Sky Esports,SKY,VN
BuzzKill,BK,EMEA
Byteway Esports,BWE,EMEA
Cal Esports,CAL,NA
Call Gaming,CG,NA
Campus Party Sparks,SPK,EMEA
Capital Esports,CAP,PCS
Carleton University,CU,NA
Carpe Diem,CD,INT
Case Esports,CASE,EMEA
CASLA Esports,SL,LAT
Cattleya Gaming,CTG,LAT
CB Gaming,CB,NA
CBS Esports,CBS,EMEA
CC Club,CC,CN
CCfuture,CCF,CN
CCG Esports,CCG,NA
Celestial Gaming,CG,EMEA
CenturySoft,CSoft,INT
Cerberus e-Sports Club,cBs,EMEA
Cerberus eSports,CRB,NA
CERBERUS Esports,CES,VN
Chaotic Fusion,CEF,NA
Charlotte Phoenix,CLT,NA
Cheetahs,CHT,INT
Cherry Esports,CR,VN
Chi Army,CHI,LAT
Chicks Dig Elo,CDE,NA
Chiefs Academy,CHFA,PCS
Chiefs Esports Club,CHF,PCS
Chienhsin Bear (健行熊),UCH,PCS
ChiLeanFivE,CL5,INT
ChiLeanFivE Hopes,CL5.H,INT
ChiLeanFivE The Legacy,CL5.L,INT
Chilli Esport,CHIL,EMEA
Chilly Mountain Chipmunks,CMC,NA
Chilly Mountain Wolves,CMW,NA
China e-Sports Academic,CEA,CN
Chivas Esports,CHI,LAT
Chong Qing Gaming,CQG,CN
Chungnam Juego Esports,CNJ,KR
Chunnam Techno University,CTU,KR
Cidade Curiosa Esports,CCS,EMEA
Cienciano Esports,CCC,LAT
ÇİLEKLER,CLK,EMEA
Cincinnati Fear,FEAR,NA
CJ Entus,CJ,KR
CJ Entus Blaze,CJB,KR
CJ Entus Frost,CJF,KR
Cleary University,CU,NA
Cleveland State University,CSU,NA
CLG Academy,CLG.A,NA
CLG Black,CLB,NA
CLG Challengers,CLGC,NA
CLG Faith,CLGF,NA
CLN Vipers,CLN.V,EMEA
Cloud9,C9,NA
Cloud9 Academy,C9.A,NA
Cloud9 Amateur,C9.Am,NA
Cloud9 Challenger,C9C,NA
Cloud9 Challengers,C9C,NA
Cloud9 Eclipse,C9E,EMEA
Cloud9 Tempest,C9T,NA
CLUB Activist,ACT,INT
Club Deportivo Municipal,CDM,LAT
Clutch Gaming,CG,NA
Clutch Gaming Academy,CG.A,NA
CNB e-Sports Club,CNB,BR
CNB Infinity,CNBI,BR
CNJ Esports,CNJ,VN
COGnitive Gaming,COG,NA
Coliseo Dragons,CdR,LAT
Colorado State University,CSU,NA
Columbia College,CC,NA
Comanche,CMCE,INT
Comando Élite,CE,EMEA
compLexity Academy,CLA,NA
compLexity Gaming,COL,NA
compLexity.Black,CLB,NA
compLexity.Red,CLR,NA
compLexity.White,COW,NA
Connecting Esports,CE,EMEA
Connecting Esports LYVT,LYVT,EMEA
CONQUEROR Gaming,CQR,NA
Contingent Esports,CON,NA
Converse University,CU,NA
Convict of Shadows,CoS,EMEA
ConViction,CV,NA
ConViction Moon,CV.M,NA
ConViction Sun,CV.S,NA
Copenhagen Flames,CF,EMEA
Copenhagen Wolves,CW,EMEA
Copenhagen Wolves Academy,CWA,EMEA
Corax Gaming,CX,EMEA
Córdoba Patrimonio eSports,CPH,EMEA
Core Dynamic,CDY,EMEA
COS City Hawk (城市蒼鷹),TPCU,PCS
Coscu Army,CA,LAT
Cosmic Vipers,CV,NA
Cosmic Wolf Esports,CW,NA
Cougar E-Sport,CGE,INT
Could Be Better,CBB,EMEA
Counter Counter Clockwise,CCC,EMEA
Counter Logic Gaming,CLG,NA
Counter Logic Gaming Europe,CLG.EU,EMEA
cowana Gaming,COW,EMEA
CowBoySquad Imperials Esports,CBI,EMEA
CowBoySquad Imperials Esports Academy,CBI.A,EMEA
CPLAY,CP,EMEA
CR4ZY,C4,EMEA
