,,,,,,,,,,,,,,,,,,,,,EXPECTED,,,,,,,,,,,,,,ACTUAL,,,,,,,,,,,,,
,Tournament,League,Date,Gamelength,Team1,Team2,Team1Score,Team2Score,WinTeam,Year,Region_T1,Team_T1,Region_code_T1,Region_T2,Team_T2,Region_code_T2,Region_Win,Team_Win,Region_code_Win,Blue/Red,G2,FNC,MAD,RGE,VIT,MSF,SK,XL,S04,OG,AST,BDS,SPY,TH,G2,FNC,MAD,RGE,VIT,MSF,SK,XL,S04,OG,AST,BDS,SPY,TH
16501,LEC 2019 Spring,LEC,26/01/2019 18:00,23:11,G2 Esports,Rogue (European Team),1,0,G2 Esports,2019,EMEA,G2,EMEA,Europe,RGE,EMEA,EMEA,G2,EMEA,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16503,LEC 2019 Spring,LEC,26/01/2019 18:58,31:29:00,Splyce,Origen,1,0,Splyce,2019,Europe,SPY,EMEA,Europe,OG,EMEA,Europe,SPY,EMEA,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16505,LEC 2019 Spring,LEC,26/01/2019 20:04,26:33:00,Misfits Gaming,Team Vitality,0,1,Team Vitality,2019,Europe,MSF,EMEA,EMEA,VIT,EMEA,EMEA,VIT,EMEA,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16585,LEC 2019 Spring,LEC,01/02/2019 16:34,25:18:00,SK Gaming,G2 Esports,0,1,G2 Esports,2019,EMEA,SK,EMEA,EMEA,G2,EMEA,EMEA,G2,EMEA,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16586,LEC 2019 Spring,LEC,01/02/2019 17:32,35:20:00,Splyce,FC Schalke 04 Esports,0,1,FC Schalke 04 Esports,2019,Europe,SPY,EMEA,EMEA,S04,EMEA,EMEA,S04,EMEA,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16587,LEC 2019 Spring,LEC,01/02/2019 18:42,32:02:00,Fnatic,Rogue (European Team),1,0,Fnatic,2019,EMEA,FNC,EMEA,Europe,RGE,EMEA,EMEA,FNC,EMEA,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16588,LEC 2019 Spring,LEC,01/02/2019 19:45,34:37:00,Excel Esports,Misfits Gaming,1,0,Excel Esports,2019,EMEA,XL,EMEA,Europe,MSF,EMEA,EMEA,XL,EMEA,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16589,LEC 2019 Spring,LEC,01/02/2019 20:48,43:12:00,Team Vitality,Origen,1,0,Team Vitality,2019,EMEA,VIT,EMEA,Europe,OG,EMEA,EMEA,VIT,EMEA,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16608,LEC 2019 Spring,LEC,02/02/2019 15:21,39:59:00,G2 Esports,Splyce,1,0,G2 Esports,2019,EMEA,G2,EMEA,Europe,SPY,EMEA,EMEA,G2,EMEA,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16610,LEC 2019 Spring,LEC,02/02/2019 16:51,29:51:00,Excel Esports,FC Schalke 04 Esports,0,1,FC Schalke 04 Esports,2019,EMEA,XL,EMEA,EMEA,S04,EMEA,EMEA,S04,EMEA,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16612,LEC 2019 Spring,LEC,02/02/2019 17:47,37:07:00,SK Gaming,Origen,0,1,Origen,2019,EMEA,SK,EMEA,Europe,OG,EMEA,Europe,OG,EMEA,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16614,LEC 2019 Spring,LEC,02/02/2019 18:54,33:16:00,Rogue (European Team),Team Vitality,0,1,Team Vitality,2019,Europe,RGE,EMEA,EMEA,VIT,EMEA,EMEA,VIT,EMEA,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16616,LEC 2019 Spring,LEC,02/02/2019 20:06,33:43:00,Misfits Gaming,Fnatic,1,0,Misfits Gaming,2019,Europe,MSF,EMEA,EMEA,FNC,EMEA,Europe,MSF,EMEA,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16652,LEC 2019 Spring,LEC,08/02/2019 16:24,26:08:00,FC Schalke 04 Esports,Misfits Gaming,1,0,FC Schalke 04 Esports,2019,EMEA,S04,EMEA,Europe,MSF,EMEA,EMEA,S04,EMEA,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
